SampleID,Actinopterygii,Aenigmarchaeia,Bathyarchaeia,Bivalvia,Hadarchaeia,Iainarchaeia,Ichthyosporea,LKM11,Lokiarchaeia,Methanomethylicia,Methanomicrobia,Methanosarcinia,Micrarchaeia,Nanoarchaeia,Nitrososphaeria,Odinarchaeia,Thermococci,Thermoplasmata,Unclassified,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
3-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19698498801564274,0.07846600227072033,0.0,0.0,0.0,0.0,0.0032799293553677305,0.0,0.7212690803582692,0,0,0,1,1
3-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3697636321085888,0.3604025274982448,0.006084717996723613,0.006006708791637413,0.0,0.0,0.21312114829549886,0.033153912161635074,0.011467353147671425,0,0,0,0,0
3-24,0.0,0.0,0.0019353055017970694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5765828034282554,0.1715510091235831,0.0,0.0,0.0,0.0,0.1537185512855958,0.007464749792645839,0.08874758086812275,0,1,0,0,1
3-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009492938180134,0.10338041213243807,0.0,0.0,0.0,0.0,0.24855290576522343,0.03855059041444779,0.008566797869877286,0,0,0,0,0
3-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986535828388863,0.18929712460063897,0.0,0.0,0.007530807850296669,0.0,0.019169329073482427,0.06617982656321314,0.019169329073482427,0,0,0,0,0
3-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8377796901893287,0.0,0.0,0.0,0.0,0.0,0.0,0.1333907056798623,0.02882960413080895,0,0,0,0,0
3-28,0.0,0.0,0.0007499062617172854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24184476940382452,0.5749531308586426,0.005174353205849269,0.0005999250093738283,0.0,0.0,0.12860892388451445,0.04709411323584552,0.0009748781402324709,0,1,1,0,0
3-29,0.0,0.0,0.004195804195804196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6366258741258741,0.1805944055944056,0.0,0.011975524475524475,0.0,0.0,0.14798951048951048,0.016520979020979022,0.002097902097902098,0,0,0,0,0
3-3,0.0,0.0,0.00513347022587269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32885800031590584,0.35800031590586007,0.000552835255093982,0.002132364555362502,0.0,0.0,0.24798610014215763,0.010108987521718528,0.04722792607802875,0,0,0,0,0
3-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8011339773204535,0.04003919921601568,0.0,0.0,0.0,0.0,0.12970740585188295,0.02911941761164777,0.0,0,0,0,0,0
