SampleID,BAC_P::Acetothermia,BAC_P::Acidobacteriota,BAC_P::Actinobacteriota,BAC_P::Armatimonadota,BAC_P::Bacteroidota,BAC_P::Bdellovibrionota,BAC_P::CK-2C2-2,BAC_P::Caldatribacteriota,BAC_P::Caldisericota,BAC_P::Calditrichota,BAC_P::Campilobacterota,BAC_P::Chloroflexi,BAC_P::Cloacimonadota,BAC_P::Coprothermobacterota,BAC_P::Cyanobacteria,BAC_P::Dadabacteria,BAC_P::Deinococcota,BAC_P::Dependentiae,BAC_P::Desulfobacterota,BAC_P::Elusimicrobiota,BAC_P::Fermentibacterota,BAC_P::Fibrobacterota,BAC_P::Firmicutes,BAC_P::Fusobacteriota,BAC_P::Gemmatimonadota,BAC_P::Halanaerobiaeota,BAC_P::Hydrogenedentes,BAC_P::Hydrothermae,BAC_P::LCP-89,BAC_P::Latescibacterota,BAC_P::MBNT15,BAC_P::Marinimicrobia_(SAR406_clade),BAC_P::Myxococcota,BAC_P::NB1-j,BAC_P::NKB15,BAC_P::Nitrospirota,BAC_P::Patescibacteria,BAC_P::Planctomycetota,BAC_P::Proteobacteria,BAC_P::Spirochaetota,BAC_P::Sumerlaeota,BAC_P::Sva0485,BAC_P::Synergistota,BAC_P::TA06,BAC_P::Thermotogota,BAC_P::Verrucomicrobiota,BAC_P::WPS-2,BAC_P::WS1,BAC_P::Zixibacteria,BAC_P::unidentified,ARC_P::Aenigmarchaeota,ARC_P::Asgardarchaeota,ARC_P::Crenarchaeota,ARC_P::Cryptomycota,ARC_P::Euryarchaeota,ARC_P::Halobacterota,ARC_P::Holozoa,ARC_P::Micrarchaeota,ARC_P::Mollusca,ARC_P::Nanoarchaeota,ARC_P::Thermoplasmatota,ARC_P::Vertebrata,ARC_P::unidentified
4-7,0.0,1.79,2.045,0.5710000000000001,25.489,0.0,0.0,0.693,0.56,0.0,0.0,1.937,16.988,0.0,0.0,0.0,0.0,0.0,5.633999999999999,0.0,0.0,0.0,17.817,0.0,0.0,0.0,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.913,12.56,5.943,0.112,0.0,1.356,0.0,2.789,0.759,0.0,0.414,0.0,0.211,0.0,0.0,0.0,0.0,23.193,75.925,0.0,0.0,0.0,0.0,0.881,0.0,0.0
1-8,0.0,1.155,0.844,0.7150000000000001,24.105,0.0,0.196,0.17,0.707,0.0,0.0,9.822,9.119,0.0,0.0,0.0,0.0,0.0,9.67,0.0,0.0,0.0,26.092,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,5.854,2.204,0.0,0.0,2.624,0.0,3.179,0.971,0.0,0.0,0.0,1.431,0.0,0.0,0.828,0.0,13.683,77.56700000000001,0.0,0.0,0.0,0.163,4.691,0.0,3.019
2-8,0.0,0.5710000000000001,0.416,0.819,20.731,0.0,0.214,0.101,0.389,0.0,0.0,18.248,10.937,0.0,0.0,0.0,0.0,0.0,2.765,0.0,0.0,0.0,20.699,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.225,2.943,13.249,0.0,0.0,1.192,0.0,3.771,0.982,0.0,0.14,0.0,0.862,0.0,0.0,1.139,0.0,16.493,70.553,0.0,0.0,0.0,0.548,11.266,0.0,0.0
3-8,0.0,0.671,0.349,0.8,18.504,0.0,0.0,0.103,0.7619999999999999,0.0,0.0,23.722,15.162,0.0,0.0,0.0,0.0,0.0,3.816,0.0,0.0,0.245,16.8,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.228,0.215,3.601,4.467000000000001,0.0,0.0,2.669,0.0,5.779,0.762,0.0,0.0,0.0,0.556,0.0,0.0,0.0,0.0,18.247,77.143,0.0,0.0,0.0,0.552,3.133,0.0,0.925
4-8,0.0,0.938,1.071,0.759,17.643,0.0,0.0,0.134,0.49,0.0,0.0,12.724,19.971,0.0,0.0,0.0,0.0,0.0,7.949000000000001,0.0,0.0,0.0,19.665,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4299999999999999,0.212,4.934,1.982,0.146,0.0,4.046,0.0,4.237,1.438,0.0,0.0,0.0,0.765,0.0,0.0,0.489,0.0,18.902,79.98599999999999,0.0,0.419,0.0,0.0,0.0,0.0,0.141
1-9,0.0,0.0,0.279,0.0,32.653,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.781,0.0,0.0,1.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325,0.14,0.0,0.0,1.599,0.0,0.935,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,91.379,0.0,0.0,0.0,0.0,2.876,0.0,5.532
2-9,0.0,0.0,0.135,0.0,43.274,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.727,0.0,0.0,1.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0,3.463,0.0,2.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,83.16099999999999,0.0,0.0,0.0,0.0,13.6,0.0,3.013
3-9,0.0,0.0,0.345,0.0,27.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.745,0.0,0.0,1.181,0.0,2.348,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.339,0.0,0.0,0.0,0.0,8.616,0.0,70.99600000000001
4-9,0.0,0.0,0.188,0.0,24.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.05199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.0,0.0,1.419,0.0,0.0,1.343,0.0,0.372,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,1.407,86.145,0.0,0.0,0.0,0.0,11.967,0.0,0.268
1-10,5.548,2.082,2.503,1.296,30.075,0.0,0.0,0.792,1.546,0.0,0.0,1.224,20.503,0.0,0.0,0.0,0.0,0.0,9.281,0.0,0.0,0.0,6.403,0.0,0.212,0.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,6.788,7.868,0.0,0.0,0.328,0.213,0.7949999999999999,0.639,0.0,0.0,0.0,0.756,0.0,0.642,4.534,0.0,27.767,50.798,0.0,0.0,0.0,0.199,2.884,0.0,13.175
