SampleID,Aenigmarchaeota,Asgardarchaeota,Crenarchaeota,Cryptomycota,Euryarchaeota,Hadarchaeota,Halobacterota,Holozoa,Iainarchaeota,Micrarchaeota,Mollusca,Nanoarchaeota,Thermoplasmatota,Unclassified,Vertebrata,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
1-3b,0.0,0.0,0.006520653937351803,0.0,0.3016972419817796,0.0,0.6486022713091226,0.0,0.0,0.0,0.0,0.0033695245226506927,0.012074129539498315,0.027736178709596906,0.0,0,0,0,0,0
1-4,0.0,0.0,0.005504954459013112,0.0,0.21259133219897908,0.0,0.7001301171053949,0.0,0.0,0.000300270243218897,0.0,0.0067060354318887,0.05254729256330697,0.02221999799819838,0.0,0,0,0,0,0
1-5,0.0,0.0,0.008450173578406307,0.0,0.28474932048763424,0.0,0.6339783094270567,0.0,0.0,0.005732124115288355,0.0,0.008342528055114509,0.02979089857100568,0.028956645765494227,0.0,0,0,0,0,0
1-6,0.0,0.0,0.0077957811066952,0.0,0.22894374808926934,0.0,0.6993656374197493,0.0,0.0,0.0011082237847752981,0.0,0.002636808315499847,0.014903699174564354,0.04524610210944665,0.0,0,0,1,0,0
1-7,0.0,0.0011988138052873999,0.008349632994721013,0.0,0.1482322754327297,0.0,0.7320335667865481,0.0,0.0,0.0,0.0,0.027299303846720087,0.041790228615895854,0.04109617851809788,0.0,0,0,0,0,0
1-8,0.0,0.00020400252963136744,0.008282502703033517,0.00012240151777882045,0.13682449662375815,0.0,0.7756788184173484,0.0,0.00010200126481568372,4.0800505926273486e-05,0.0,0.0016320202370509395,0.04692058181521451,0.03019237438544238,0.0,0,0,0,0,0
1-9,0.0,0.0,0.0006969551770701747,0.0,0.0014374700527072352,0.0,0.9137953565361328,0.0,0.0,0.0,0.0,0.0,0.028749401054144707,0.055320817179945116,0.0,0,1,1,0,0
2-1,0.0,0.0,0.0,0.0,0.006743467266085979,0.0,0.9161281258780556,0.0,0.0,0.0,0.0,0.0,0.017420623770722114,0.05970778308513627,0.0,0,1,1,0,0
2-10,0.0,0.0,0.001579778830963665,0.0,0.361995034980817,0.0,0.5699616339426766,0.0,0.0,0.0,0.0,0.0,0.05393816294290228,0.012525389302640487,0.0,0,0,0,0,1
2-11,0.0,0.0,0.0857540441815968,0.0,0.20160027830927119,0.0,0.6618542355192207,0.0,0.0,0.0,0.0,0.0,0.03652809184205949,0.0142633501478518,0.0,0,0,0,0,0
2-12,0.0,0.0,0.0006019744762822056,0.0,0.0016855285335901757,0.0,0.9684565374428125,0.0,0.0,0.008909222248976643,0.0,0.0,0.016734890440645318,0.003611846857693234,0.0,0,0,1,0,0
2-13,0.0,0.0,0.009297520661157025,0.0,0.16735537190082644,0.0,0.797107438016529,0.0,0.0,0.0,0.0,0.0,0.02066115702479339,0.005578512396694215,0.0,0,0,0,0,0
2-14,0.0,0.0,0.0,0.0,0.0024531668153434435,0.0,0.815677966101695,0.0,0.0,0.0,0.0,0.0,0.17094112399643177,0.010927743086529884,0.0,0,0,1,0,0
2-15,0.0,0.0,0.0062658763759525825,0.0,0.2403048264182896,0.0,0.6391193903471635,0.0,0.0,0.0,0.0,0.0,0.026079593564775613,0.0882303132938188,0.0,0,0,0,0,0
2-16,0.0,0.0,0.0015860428231562252,0.0,0.002973830293417922,0.0,0.975614591593973,0.0,0.0,0.0,0.0,0.0,0.013778747026169706,0.006046788263283109,0.0,0,0,0,0,0
2-17,0.0,0.0,0.0,0.0,0.25441361916771754,0.0,0.7068095838587641,0.0,0.0,0.0,0.0,0.0,0.021595208070617905,0.017181588902900377,0.0,0,0,0,0,0
2-18,0.0,0.0,0.03667644705254735,0.0,0.1911176313683649,0.0,0.7100560149373166,0.0,0.0,0.0,0.0,0.0,0.018938383568951722,0.04321152307281942,0.0,0,0,0,0,0
2-19,0.0,0.0,0.0,0.0,0.0044964028776978415,0.0,0.6467326139088729,0.0,0.0,0.0,0.0,0.0,0.3232913669064748,0.025479616306954438,0.0,0,1,0,0,0
2-2,0.0,0.0,0.0,0.0,0.1267789528659094,0.0,0.8420159289724507,0.0,0.0,0.0,0.0,0.017887452670061366,0.009139574356965661,0.004178091134612874,0.0,0,0,0,0,0
2-20,0.0,0.0,0.0,0.0,0.0031718569780853517,0.0,0.8850922722029988,0.0,0.0,0.0,0.0,0.0,0.06228373702422145,0.04945213379469435,0.0,0,1,1,0,0
2-21,0.0,0.0,0.0047952431188261245,0.0,0.24781816438093413,0.0,0.7189987532367891,0.0,0.0,0.0,0.0,0.0,0.02081135513570538,0.007576484127745277,0.0,0,0,0,0,0
2-22,0.0,0.0,0.0,0.0,0.08396101019051838,0.0,0.7568675232609658,0.0,0.0,0.0,0.0,0.0,0.026805494018608773,0.13236597252990695,0.0,0,0,0,1,0
2-23,0.0,0.0,0.0,0.0,0.206375705540981,0.0,0.7720804515462278,0.0,0.0,0.0,0.0,0.0,0.01939740837904444,0.002146434533746721,0.0,0,0,0,0,0
2-24,0.0,0.0,0.0,0.0,0.15819471908805396,0.0,0.7823659416075375,0.0,0.0,0.0,0.0,0.0,0.019658020239618473,0.039781319064790044,0.0,0,0,0,0,0
2-25,0.0,0.0,0.0,0.0,0.16825873362445415,0.0,0.7974890829694323,0.0,0.0,0.0,0.0,0.0,0.019650655021834062,0.014601528384279475,0.0,0,1,0,0,0
2-26,0.0,0.0,0.011391907817205709,0.0,0.012570381039675265,0.0,0.9419929291606652,0.0,0.0,0.0,0.0,0.0,0.028807123215922482,0.00523765876653136,0.0,0,0,0,0,0
