domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
ARC,Order,1-19-ADPC,1-19,ADPC,ADPC,ADP
ARC,Order,1-2-BSNS,1-2,BSNS,BSNS,BSN
ARC,Order,1-20-YCGH,1-20,YCGH,YCGH,YCG
ARC,Order,1-21-YCDG,1-21,YCDG,YCDG,YCD
ARC,Order,1-22-UJGN,1-22,UJGN,UJGN,UJG
ARC,Order,1-23-CGSJ,1-23,CGSJ,CGSJ,CGS
ARC,Order,1-24-GHGHa,1-24,GHGHa,GHGHa,GHGa
ARC,Order,1-25-GHGHb,1-25,GHGHb,GHGHb,GHGb
ARC,Order,1-26-GHHM,1-26,GHHM,GHHM,GHH
ARC,Order,1-27-GHJY,1-27,GHJY,GHJY,GHJ
ARC,Order,1-28-MYSN,1-28,MYSN,MYSN,MYS
ARC,Order,1-29-SCHG,1-29,SCHG,SCHG,SCH
ARC,Order,1-3-BSIGa,1-3,BSIGa,BSIGa,BSI
ARC,Order,1-30-YSDM,1-30,YSDM,YSDM,YSD
ARC,Order,1-31-YSYS,1-31,YSYS,YSYS,YSY
ARC,Order,1-32-JJNG,1-32,JJNG,JJNG,JJN
ARC,Order,1-33-CWMS,1-33,CWMS,CWMS,CWM
ARC,Order,1-34-CWSS,1-34,CWSS,CWSS,CWS
ARC,Order,1-3b-BSIGb,1-3b,BSIGb,BSIGb,BSIb
ARC,Order,1-4-BSOC,1-4,BSOC,BSOC,BSO
ARC,Order,1-5-BSES,1-5,BSES,BSES,BSE
ARC,Order,1-6-DGGW,1-6,DGGW,DGGW,DGG
ARC,Order,1-7-DGDS,1-7,DGDS,DGDS,DGD
ARC,Order,1-8-DGJY,1-8,DGJY,DGJY,DGJ
ARC,Order,1-9-DGGB,1-9,DGGB,DGGB,DGB
ARC,Order,2-1-BSSG,2-1,BSSG,BSSG,BSS
ARC,Order,2-10-DGDC,2-10,DGDC,DGDC,DGC
ARC,Order,2-11-DGYSa,2-11,DGYSa,DGYSa,DGY
ARC,Order,2-12-USOS,2-12,USOS,USOS,USO
ARC,Order,2-13-USYY,2-13,USYY,USYY,USY
ARC,Order,2-14-USYJ,2-14,USYJ,USYJ,USJ
ARC,Order,2-15-GSGA,2-15,GSGA,GSGA,GSG
ARC,Order,2-16-GCGD,2-16,GCGD,GCGD,GCG
ARC,Order,2-17-MGYS,2-17,MGYS,MGYS,MGY
ARC,Order,2-18-ADAS,2-18,ADAS,ADAS,ADA
