Model,domain,feature,importance,taxonomic_level
RandomForest,Bacteria,BAC_O::Thermotogales,3.273384715792945e-05,Order
RandomForest,Bacteria,BAC_O::Alteromonadales,3.069115166998496e-05,Order
RandomForest,Bacteria,BAC_O::1-20,2.694972524442331e-05,Order
RandomForest,Bacteria,BAC_O::Cellvibrionales,2.575264222250266e-05,Order
RandomForest,Bacteria,BAC_O::LD1-PA32,2.4950543657753923e-05,Order
RandomForest,Bacteria,BAC_O::PeM15,2.012759126639381e-05,Order
RandomForest,Bacteria,BAC_O::Methylococcales,1.9170904607802363e-05,Order
RandomForest,Bacteria,BAC_O::Bryobacterales,1.6761225591974355e-05,Order
RandomForest,Bacteria,BAC_O::Acidobacteriae,1.6641772467019266e-05,Order
RandomForest,Bacteria,BAC_O::Propionibacteriales,1.5387325561807114e-05,Order
RandomForest,Bacteria,BAC_O::Nitrospirales,1.4182772377814332e-05,Order
RandomForest,Bacteria,BAC_O::Ardenticatenales,1.3113083788845807e-05,Order
RandomForest,Bacteria,BAC_O::Deinococcales,1.3086543447505263e-05,Order
RandomForest,Archaea,ARC_O::Lokiarchaeia,1.3053613053613532e-05,Order
RandomForest,Bacteria,BAC_O::Thermales,1.151201684460577e-05,Order
RandomForest,Bacteria,BAC_O::Run-SP154,1.151201684460452e-05,Order
RandomForest,Bacteria,BAC_O::Micavibrionales,1.123265298818158e-17,Order
RandomForest,Bacteria,BAC_O::Gemmatimonadales,7.708818943322304e-18,Order
RandomForest,Bacteria,BAC_O::SM1A07,6.560104308738709e-18,Order
RandomForest,Bacteria,BAC_O::Chlamydiales,6.0522468119625935e-18,Order
RandomForest,Bacteria,BAC_O::Rickettsiales,5.67742369475838e-18,Order
RandomForest,Bacteria,BAC_O::NKB15,5.486481113385201e-18,Order
RandomForest,Bacteria,BAC_O::Solirubrobacterales,5.2455689251248286e-18,Order
RandomForest,Bacteria,BAC_O::PLTA13,5.038982568386964e-18,Order
RandomForest,Bacteria,BAC_O::Caldilineales,5.010000278040213e-18,Order
RandomForest,Bacteria,BAC_O::OLB14,4.911127247926385e-18,Order
RandomForest,Bacteria,BAC_O::Polyangiales,4.873014232570885e-18,Order
RandomForest,Bacteria,BAC_O::Candidatus_Falkowbacteria,4.8126279796202025e-18,Order
RandomForest,Bacteria,BAC_O::OPB41,4.6912128303642345e-18,Order
RandomForest,Bacteria,BAC_O::Pla3_lineage,4.195628486442299e-18,Order
RandomForest,Archaea,ARC_O::Rhinosporideacae,4.15444509856116e-18,Order
RandomForest,Bacteria,BAC_O::TA06,3.572804775357535e-18,Order
RandomForest,Bacteria,BAC_O::WPS-2,3.477017670755878e-18,Order
RandomForest,Bacteria,BAC_O::Solibacterales,3.35514319768564e-18,Order
RandomForest,Bacteria,BAC_O::Phycisphaerales,3.3453672780905007e-18,Order
RandomForest,Bacteria,BAC_O::C10-SB1A,2.896901156080095e-18,Order
RandomForest,Bacteria,BAC_O::Oceanospirillales,2.8793555979735296e-18,Order
RandomForest,Bacteria,BAC_O::Haliangiales,2.8622695804696083e-18,Order
RandomForest,Bacteria,BAC_O::Bradymonadales,2.6603617394928946e-18,Order
RandomForest,Bacteria,BAC_O::Verrucomicrobiales,2.5310834531122975e-18,Order
RandomForest,Bacteria,BAC_O::WWE3,2.4904768075437227e-18,Order
RandomForest,Bacteria,BAC_O::Candidatus_Shapirobacteria,2.474040361232773e-18,Order
RandomForest,Bacteria,BAC_O::HOC36,2.0178632837899857e-18,Order
RandomForest,Bacteria,BAC_O::c5LKS83,1.8740594355418546e-18,Order
RandomForest,Bacteria,BAC_O::PB19,1.3863987922584517e-18,Order
RandomForest,Bacteria,BAC_O::Dongiales,1.3171145062851038e-18,Order
RandomForest,Bacteria,BAC_O::113B434,1.2038682502470025e-18,Order
RandomForest,Bacteria,BAC_O::053A03-B-DI-P58,1.1503659952528449e-18,Order
RandomForest,Bacteria,BAC_O::Elsterales,9.392292501233737e-19,Order
RandomForest,Bacteria,BAC_O::Monoglobales,9.282120913475409e-19,Order
RandomForest,Bacteria,BAC_O::Nannocystales,6.670461526483475e-19,Order
RandomForest,Bacteria,BAC_O::Obscuribacterales,5.026812470490841e-19,Order
RandomForest,Bacteria,BAC_O::CCM19a,3.6928694932567213e-19,Order
RandomForest,Bacteria,BAC_O::Zixibacteria,3.0623419312726943e-19,Order
RandomForest,Bacteria,BAC_O::Chthoniobacterales,2.6641082569755484e-19,Order
RandomForest,Bacteria,BAC_O::Bacteriovoracales,2.3323024356505784e-19,Order
RandomForest,Bacteria,BAC_O::Diplorickettsiales,2.1661902023697266e-19,Order
RandomForest,Bacteria,BAC_O::Rhodospirillales,2.0332904956393968e-19,Order
RandomForest,Bacteria,BAC_O::Arenicellales,1.6212759612533472e-19,Order
RandomForest,Archaea,ARC_O::Aenigmarchaeales,0.0,Order
RandomForest,Bacteria,BAC_O::Ectothiorhodospirales,0.0,Order
RandomForest,Bacteria,BAC_O::Moorellales,0.0,Order
RandomForest,Bacteria,BAC_O::Vicinamibacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Bacteroidales,0.093743260204792,Order
XGBoost,Bacteria,BAC_O::Oscillospirales,0.069710821006447,Order
XGBoost,Bacteria,BAC_O::Eubacteriales,0.0518675699830055,Order
XGBoost,Bacteria,BAC_O::Spirochaetales,0.051273075887002,Order
XGBoost,Bacteria,BAC_O::Coriobacteriales,0.0488279085606336,Order
XGBoost,Bacteria,BAC_O::Burkholderiales,0.0376085020601749,Order
XGBoost,Bacteria,BAC_O::Lactobacillales,0.035867628082633,Order
XGBoost,Bacteria,BAC_O::Bifidobacteriales,0.0333184413611888,Order
XGBoost,Bacteria,BAC_O::Clostridia,0.0303865514695644,Order
XGBoost,Bacteria,BAC_O::MBA03,0.0252962253987789,Order
XGBoost,Bacteria,BAC_O::unidentified,0.0248781412839889,Order
XGBoost,Archaea,ARC_O::Methanomicrobiales,0.0248775387648493,Order
XGBoost,Bacteria,BAC_O::Endomicrobiales,0.022302758693695,Order
XGBoost,Archaea,ARC_O::Methanofastidiosales,0.0191905606538057,Order
XGBoost,Archaea,ARC_O::Bathyarchaeia,0.0191785290837287,Order
XGBoost,Bacteria,BAC_O::Sphingobacteriales,0.0187861004844307,Order
XGBoost,Bacteria,BAC_O::Rhizobiales,0.0182694662362337,Order
XGBoost,Bacteria,BAC_O::SBR1031,0.0162411794066429,Order
XGBoost,Bacteria,BAC_O::Desulfovibrionales,0.0152222111821174,Order
XGBoost,Bacteria,BAC_O::Lachnospirales,0.0151592433452606,Order
XGBoost,Bacteria,BAC_O::CK-2C2-2,0.0149854555726051,Order
XGBoost,Bacteria,BAC_O::Veillonellales-Selenomonadales,0.0143552254885435,Order
XGBoost,Bacteria,BAC_O::Chthonomonadales,0.0137878447771072,Order
XGBoost,Bacteria,BAC_O::Syntrophomonadales,0.013688638433814,Order
XGBoost,Bacteria,BAC_O::D8A-2,0.0135687921196222,Order
XGBoost,Bacteria,BAC_O::WCHB1-41,0.0124735578894615,Order
XGBoost,Bacteria,BAC_O::Izemoplasmatales,0.0121872525662183,Order
XGBoost,Bacteria,BAC_O::Xanthomonadales,0.0105921175330877,Order
XGBoost,Bacteria,BAC_O::Acholeplasmatales,0.0101898379623889,Order
XGBoost,Archaea,ARC_O::Methanosarciniales,0.0095810551196336,Order
XGBoost,Bacteria,BAC_O::Incertae_Sedis,0.0095801725983619,Order
XGBoost,Archaea,ARC_O::Methanomassiliicoccales,0.0095054253935813,Order
XGBoost,Bacteria,BAC_O::Syntrophales,0.0094515115022659,Order
XGBoost,Bacteria,BAC_O::Cloacimonadales,0.0093105845153331,Order
XGBoost,Bacteria,BAC_O::Caldatribacteriales,0.0086772914975881,Order
XGBoost,Bacteria,BAC_O::Clostridiales,0.0086105573922395,Order
XGBoost,Bacteria,BAC_O::Limnochordales,0.0080750739201903,Order
XGBoost,Archaea,ARC_O::unidentified,0.0080151027301326,Order
XGBoost,Bacteria,BAC_O::Caldicoprobacterales,0.0073187842965126,Order
XGBoost,Bacteria,BAC_O::Rhodobacterales,0.0069304846227169,Order
XGBoost,Bacteria,BAC_O::Leptospirales,0.0066351540386676,Order
XGBoost,Bacteria,BAC_O::Acetobacterales,0.0064674898982048,Order
XGBoost,Bacteria,BAC_O::Cytophagales,0.0063867688179016,Order
XGBoost,Bacteria,BAC_O::Christensenellales,0.0063192224130034,Order
XGBoost,Bacteria,BAC_O::Peptostreptococcales-Tissierellales,0.0063184982987877,Order
XGBoost,Bacteria,BAC_O::Chitinophagales,0.0059624046087265,Order
XGBoost,Bacteria,BAC_O::Anaerolineales,0.0056393802165985,Order
