fold,feature
2,ARC_O::unidentified
3,BAC_O::0319-6G20
3,BAC_O::053A03-B-DI-P58
3,BAC_O::1-20
3,BAC_O::113B434
3,BAC_O::Absconditabacteriales_(SR1)
3,BAC_O::Acetobacterales
3,BAC_O::Acetothermiia
3,BAC_O::Acholeplasmatales
3,BAC_O::Acidaminococcales
3,BAC_O::Acidobacteriae
3,BAC_O::Actinomycetales
3,BAC_O::Aeromonadales
3,BAC_O::Alteromonadales
3,BAC_O::Aminicenantales
3,BAC_O::Anaerolineales
3,BAC_O::Ardenticatenales
3,BAC_O::Arenicellales
3,BAC_O::B55-F-B-G02
3,BAC_O::BRH-c20a
3,BAC_O::Babeliales
3,BAC_O::Bacillales
3,BAC_O::Bacteriovoracales
3,BAC_O::Bacteroidales
3,BAC_O::Bacteroidetes_VC2.1_Bac22
3,BAC_O::Bdellovibrionales
3,BAC_O::Bifidobacteriales
3,BAC_O::Blastocatellales
3,BAC_O::Brachyspirales
3,BAC_O::Bradymonadales
3,BAC_O::Bryobacterales
3,BAC_O::Burkholderiales
3,BAC_O::C10-SB1A
3,BAC_O::CCM19a
3,BAC_O::CK-2C2-2
3,BAC_O::Caldatribacteriales
3,BAC_O::Caldicoprobacterales
3,BAC_O::Caldilineales
3,BAC_O::Caldisericales
3,BAC_O::Campylobacterales
3,BAC_O::Candidatus_Falkowbacteria
3,BAC_O::Candidatus_Peregrinibacteria
3,BAC_O::Candidatus_Shapirobacteria
3,BAC_O::Cardiobacteriales
3,BAC_O::Caulobacterales
3,BAC_O::Cellvibrionales
3,BAC_O::Chitinophagales
3,BAC_O::Chlamydiales
3,BAC_O::Christensenellales
3,BAC_O::Chthoniobacterales
3,BAC_O::Chthonomonadales
3,BAC_O::Cloacimonadales
3,BAC_O::Clostridia
3,BAC_O::Clostridia_UCG-014
3,BAC_O::Clostridiales
3,BAC_O::Competibacterales
3,BAC_O::Coprothermobacterales
3,BAC_O::Coriobacteriales
3,BAC_O::Corynebacteriales
3,BAC_O::Cytophagales
3,BAC_O::D8A-2
3,BAC_O::DS-100
3,BAC_O::DTU014
3,BAC_O::Defluviicoccales
3,BAC_O::Deinococcales
3,BAC_O::Desulfitibacterales
3,BAC_O::Desulfitobacteriales
3,BAC_O::Desulfobulbales
3,BAC_O::Desulfotomaculales
3,BAC_O::Desulfovibrionales
3,BAC_O::Dethiobacterales
3,BAC_O::Diplorickettsiales
3,BAC_O::Dongiales
3,BAC_O::Ectothiorhodospirales
3,BAC_O::Elsterales
3,BAC_O::Endomicrobiales
3,BAC_O::Enterobacterales
3,BAC_O::Erysipelotrichales
3,BAC_O::Eubacteriales
3,BAC_O::Fermentibacterales
3,BAC_O::Fibrobacterales
3,BAC_O::Fimbriimonadales
3,BAC_O::Flavobacteriales
3,BAC_O::Frankiales
3,BAC_O::Fusobacteriales
3,BAC_O::Gaiellales
3,BAC_O::Gammaproteobacteria_Incertae_Sedis
3,BAC_O::Gemmatales
3,BAC_O::Gemmatimonadales
3,BAC_O::Geobacterales
3,BAC_O::Halanaerobiales
3,BAC_O::Haliangiales
3,BAC_O::Holophagales
3,BAC_O::Hydrogenedentiales
3,BAC_O::Hydrothermae
3,BAC_O::IMCC26256
3,BAC_O::Ignavibacteriales
3,BAC_O::Incertae_Sedis
3,BAC_O::Isosphaerales
3,BAC_O::Izemoplasmatales
3,BAC_O::JG36-GS-52
3,BAC_O::JS1
3,BAC_O::Kapabacteriales
3,BAC_O::Kosmotogales
3,BAC_O::LD1-PA32
3,BAC_O::LD1-PB3
3,BAC_O::Lachnospirales
3,BAC_O::Lactobacillales
3,BAC_O::Leptospirales
3,BAC_O::Limnochordales
3,BAC_O::Limnochordia
3,BAC_O::M55-D21
3,BAC_O::MAT-CR-H4-C10
3,BAC_O::MBA03
3,BAC_O::MSBL9
3,BAC_O::MVP-15
3,BAC_O::Marinimicrobia_(SAR406_clade)
3,BAC_O::Methylococcales
3,BAC_O::Micavibrionales
3,BAC_O::Micrococcales
3,BAC_O::Microtrichales
3,BAC_O::Monoglobales
3,BAC_O::Moorellales
3,BAC_O::Myxococcales
3,BAC_O::NKB15
3,BAC_O::Nannocystales
3,BAC_O::Nitrosococcales
3,BAC_O::Nitrospirales
3,BAC_O::OLB14
3,BAC_O::OPB41
3,BAC_O::Obscuribacterales
3,BAC_O::Oceanospirillales
3,BAC_O::Oligosphaerales
3,BAC_O::Omnitrophales
3,BAC_O::Oscillospirales
3,BAC_O::PB19
3,BAC_O::PLTA13
3,BAC_O::PeM15
3,BAC_O::Pedosphaerales
3,BAC_O::Peptococcales
3,BAC_O::Peptostreptococcales-Tissierellales
3,BAC_O::Petrotogales
3,BAC_O::Phycisphaerales
3,BAC_O::Pirellulales
3,BAC_O::Pla3_lineage
3,BAC_O::Planctomycetales
3,BAC_O::Polyangiales
3,BAC_O::Propionibacteriales
3,BAC_O::Proteinivoracales
3,BAC_O::Pseudomonadales
3,BAC_O::RBG-13-54-9
3,BAC_O::RBG-16-55-12
3,BAC_O::Rhizobiales
3,BAC_O::Rhodobacterales
3,BAC_O::Rhodospirillales
3,BAC_O::Rickettsiales
3,BAC_O::Run-SP154
3,BAC_O::SBR1031
3,BAC_O::SJA-15
3,BAC_O::SJA-28
3,BAC_O::SM1A07
3,BAC_O::Saccharimonadales
3,BAC_O::Solibacterales
3,BAC_O::Solirubrobacterales
3,BAC_O::Sphingobacteriales
3,BAC_O::Sphingomonadales
3,BAC_O::Spirochaetales
3,BAC_O::Steroidobacterales
3,BAC_O::Sumerlaeales
3,BAC_O::Sva0485
3,BAC_O::Symbiobacteriales
3,BAC_O::Synergistales
3,BAC_O::Syntrophales
3,BAC_O::Syntrophobacterales
3,BAC_O::Syntrophomonadales
3,BAC_O::Syntrophorhabdales
3,BAC_O::TA06
