feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_O::Propionibacteriales,Propionibacteriales,Bacteria,Order,9,3,True
BAC_O::Proteinivoracales,Proteinivoracales,Bacteria,Order,6,6,True
BAC_O::Pseudomonadales,Pseudomonadales,Bacteria,Order,38,27,True
BAC_O::RBG-13-54-9,RBG-13-54-9,Bacteria,Order,12,6,True
BAC_O::RBG-16-55-12,RBG-16-55-12,Bacteria,Order,8,5,True
BAC_O::Reyranellales,Reyranellales,Bacteria,Order,4,1,True
BAC_O::Rhizobiales,Rhizobiales,Bacteria,Order,83,65,True
BAC_O::Rhodobacterales,Rhodobacterales,Bacteria,Order,81,61,True
BAC_O::Rhodospirillales,Rhodospirillales,Bacteria,Order,1,1,True
BAC_O::Rickettsiales,Rickettsiales,Bacteria,Order,1,1,True
BAC_O::Run-SP154,Run-SP154,Bacteria,Order,20,12,True
BAC_O::SBR1031,SBR1031,Bacteria,Order,69,49,True
BAC_O::SJA-15,SJA-15,Bacteria,Order,50,31,True
BAC_O::SJA-28,SJA-28,Bacteria,Order,70,53,True
BAC_O::SM1A07,SM1A07,Bacteria,Order,1,1,True
BAC_O::Saccharimonadales,Saccharimonadales,Bacteria,Order,43,32,True
BAC_O::Solibacterales,Solibacterales,Bacteria,Order,2,2,True
BAC_O::Solirubrobacterales,Solirubrobacterales,Bacteria,Order,7,4,True
BAC_O::Sphingobacteriales,Sphingobacteriales,Bacteria,Order,134,107,True
BAC_O::Sphingomonadales,Sphingomonadales,Bacteria,Order,59,44,True
BAC_O::Spirochaetales,Spirochaetales,Bacteria,Order,128,101,True
BAC_O::Steroidobacterales,Steroidobacterales,Bacteria,Order,7,3,True
BAC_O::Sumerlaeales,Sumerlaeales,Bacteria,Order,14,11,True
BAC_O::Sva0485,Sva0485,Bacteria,Order,8,2,True
BAC_O::Symbiobacteriales,Symbiobacteriales,Bacteria,Order,4,4,True
BAC_O::Synergistales,Synergistales,Bacteria,Order,136,107,True
BAC_O::Syntrophales,Syntrophales,Bacteria,Order,91,67,True
BAC_O::Syntrophobacterales,Syntrophobacterales,Bacteria,Order,45,29,True
BAC_O::Syntrophomonadales,Syntrophomonadales,Bacteria,Order,129,103,True
BAC_O::Syntrophorhabdales,Syntrophorhabdales,Bacteria,Order,80,60,True
BAC_O::TA06,TA06,Bacteria,Order,8,4,True
BAC_O::Thermacetogeniales,Thermacetogeniales,Bacteria,Order,27,27,True
BAC_O::Thermales,Thermales,Bacteria,Order,3,3,True
BAC_O::Thermoanaerobacterales,Thermoanaerobacterales,Bacteria,Order,14,13,True
BAC_O::Thermoanaerobaculales,Thermoanaerobaculales,Bacteria,Order,35,26,True
BAC_O::Thermotogales,Thermotogales,Bacteria,Order,11,10,True
BAC_O::Thermovenabulales,Thermovenabulales,Bacteria,Order,23,23,True
BAC_O::Veillonellales-Selenomonadales,Veillonellales-Selenomonadales,Bacteria,Order,23,19,True
BAC_O::Verrucomicrobiales,Verrucomicrobiales,Bacteria,Order,8,6,True
BAC_O::Vibrionales,Vibrionales,Bacteria,Order,1,1,True
BAC_O::Vicinamibacterales,Vicinamibacterales,Bacteria,Order,1,1,True
BAC_O::WCHB1-41,WCHB1-41,Bacteria,Order,106,83,True
BAC_O::WCHB1-81,WCHB1-81,Bacteria,Order,39,27,True
BAC_O::WPS-2,WPS-2,Bacteria,Order,4,3,True
BAC_O::WS1,WS1,Bacteria,Order,47,37,True
BAC_O::WWE3,WWE3,Bacteria,Order,3,2,True
BAC_O::Xanthomonadales,Xanthomonadales,Bacteria,Order,84,62,True
BAC_O::Zixibacteria,Zixibacteria,Bacteria,Order,5,3,True
