Taxon,mean_relative_abundance_percent,domain,rank,selected
Papillibacter,0.08928571428571425,BAC,Genus,False
Bacteroidetes_VC2.1_Bac22,0.08846428571428573,BAC,Genus,False
Cloacimonadaceae,0.08798571428571429,BAC,Genus,False
WS1,0.08746428571428572,BAC,Genus,False
Dysgonomonadaceae,0.08597857142857145,BAC,Genus,False
Comamonas,0.084,BAC,Genus,False
ADurb.Bin120,0.08294285714285714,BAC,Genus,False
Cloacibacterium,0.08144285714285712,BAC,Genus,False
Mariniphaga,0.07709285714285713,BAC,Genus,False
Syntrophococcus,0.07622142857142858,BAC,Genus,False
WCHB1-81,0.07508571428571433,BAC,Genus,False
Novosphingobium,0.07490714285714285,BAC,Genus,False
Longilinea,0.07357142857142858,BAC,Genus,False
Denitratisoma,0.07207142857142856,BAC,Genus,False
Simplicispira,0.07137857142857143,BAC,Genus,False
Pedosphaeraceae,0.07134285714285712,BAC,Genus,False
BD1-7_clade,0.0696,BAC,Genus,False
Ercella,0.06896428571428571,BAC,Genus,False
Dialister,0.06742142857142859,BAC,Genus,False
Pseudarcobacter,0.06731428571428572,BAC,Genus,False
Leptotrichia,0.06677142857142858,BAC,Genus,False
Desulfobulbus,0.06592857142857146,BAC,Genus,False
DEV114,0.0641214285714286,BAC,Genus,False
MgMjR-022,0.06323571428571428,BAC,Genus,False
Tepidanaerobacter,0.06252857142857143,BAC,Genus,False
Trichococcus,0.062392857142857125,BAC,Genus,False
Amnipila,0.061764285714285716,BAC,Genus,False
LF045,0.059892857142857144,BAC,Genus,False
Hyphomicrobium,0.05969285714285715,BAC,Genus,False
Paracoccus,0.05691428571428572,BAC,Genus,False
Lactococcus,0.05680714285714286,BAC,Genus,False
DS-100,0.05663571428571429,BAC,Genus,False
Chthonomonadales,0.055307142857142874,BAC,Genus,False
PeH15,0.054792857142857136,BAC,Genus,False
Herbinix,0.05456428571428574,BAC,Genus,False
Ellin6067,0.054271428571428554,BAC,Genus,False
Arcobacter,0.05392857142857143,BAC,Genus,False
Candidatus_Soleaferrea,0.053228571428571424,BAC,Genus,False
UCG-004,0.053228571428571424,BAC,Genus,False
Ahniella,0.051135714285714284,BAC,Genus,False
Saccharimonadales,0.04971428571428571,BAC,Genus,False
IMCC26207,0.04894285714285714,BAC,Genus,False
Rhodanobacter,0.048514285714285725,BAC,Genus,False
Limnobacter,0.04804285714285715,BAC,Genus,False
Parabacteroides,0.0459642857142857,BAC,Genus,False
Nitrosomonas,0.045421428571428585,BAC,Genus,False
Propionivibrio,0.04540714285714287,BAC,Genus,False
SWB02,0.04500714285714287,BAC,Genus,False
Tolumonas,0.04433571428571428,BAC,Genus,False
Azospira,0.0441857142857143,BAC,Genus,False
Run-SP154,0.04403571428571429,BAC,Genus,False
ADurb.Bin118,0.04382142857142857,BAC,Genus,False
PHOS-HE36,0.04353571428571427,BAC,Genus,False
PeM15,0.04302142857142858,BAC,Genus,False
Crenothrix,0.04300714285714286,BAC,Genus,False
Gracilibacter,0.042892857142857156,BAC,Genus,False
Anaerococcus,0.04214285714285715,BAC,Genus,False
JGI-0000079-D21,0.04177142857142856,BAC,Genus,False
B1-7BS,0.041664285714285716,BAC,Genus,False
Fimbriimonadaceae,0.04162142857142857,BAC,Genus,False
Fervidobacterium,0.04139285714285714,BAC,Genus,False
S15A-MN91,0.04067857142857144,BAC,Genus,False
Dethiobacter,0.03969285714285716,BAC,Genus,False
Thermus,0.0383,BAC,Genus,False
Sumerlaea,0.038021428571428574,BAC,Genus,False
Desulfovibrio,0.037592857142857136,BAC,Genus,False
Sphingomonas,0.03725000000000001,BAC,Genus,False
Mycobacterium,0.03685,BAC,Genus,False
Anaerofustis,0.036678571428571435,BAC,Genus,False
Shuttleworthia,0.03634285714285714,BAC,Genus,False
Thiopseudomonas,0.035364285714285716,BAC,Genus,False
Pseudoramibacter,0.035314285714285715,BAC,Genus,False
M55-D21,0.0334,BAC,Genus,False
OPB41,0.03304285714285716,BAC,Genus,False
Irregularibacter,0.032435714285714276,BAC,Genus,False
SB-5,0.032407142857142864,BAC,Genus,False
TTA-B1,0.03238571428571429,BAC,Genus,False
A0839,0.03232857142857143,BAC,Genus,False
Clostridium_sensu_stricto_8,0.03213571428571428,BAC,Genus,False
Sulfuritalea,0.03211428571428571,BAC,Genus,False
0319-6G20,0.03198571428571429,BAC,Genus,False
RBG-13-54-9,0.03180714285714286,BAC,Genus,False
Succiniclasticum,0.03162142857142857,BAC,Genus,False
Nitrospira,0.030942857142857137,BAC,Genus,False
Syntrophothermus,0.03077142857142857,BAC,Genus,False
Lactivibrio,0.030528571428571436,BAC,Genus,False
OLB14,0.030242857142857137,BAC,Genus,False
Candidatus_Omnitrophus,0.03023571428571429,BAC,Genus,False
CK-2C2-2,0.03005000000000001,BAC,Genus,False
Bacillus,0.029949999999999997,BAC,Genus,False
PLTA13,0.02978571428571428,BAC,Genus,False
c5LKS83,0.029771428571428574,BAC,Genus,False
Aeromonas,0.029557142857142855,BAC,Genus,False
Devosia,0.029114285714285718,BAC,Genus,False
Flavobacterium,0.02814999999999999,BAC,Genus,False
KCLunmb-38-53,0.02804999999999999,BAC,Genus,False
JGI_0001001-H03,0.027949999999999996,BAC,Genus,False
Megasphaera,0.02792857142857143,BAC,Genus,False
Endomicrobium,0.027764285714285707,BAC,Genus,False
Absconditabacteriales_(SR1),0.027599999999999993,BAC,Genus,False
Sulfurimonas,0.02755,BAC,Genus,False
OLB12,0.02712142857142857,BAC,Genus,False
Roseimarinus,0.026949999999999998,BAC,Genus,False
Bifidobacterium,0.02685714285714285,BAC,Genus,False
Arenimonas,0.026650000000000004,BAC,Genus,False
SRB2,0.026457142857142853,BAC,Genus,False
GWE2-42-42,0.026221428571428573,BAC,Genus,False
GZKB75,0.025878571428571424,BAC,Genus,False
Stenotrophomonas,0.025842857142857143,BAC,Genus,False
Ruminofilibacter,0.024728571428571433,BAC,Genus,False
Defluviitalea,0.024107142857142855,BAC,Genus,False
SH-PL14,0.023964285714285712,BAC,Genus,False
BRH-c20a,0.023664285714285718,BAC,Genus,False
Hungateiclostridium,0.023564285714285715,BAC,Genus,False
Corynebacterium,0.02344285714285714,BAC,Genus,False
Anaerocolumna,0.02342857142857143,BAC,Genus,False
Soehngenia,0.02332142857142857,BAC,Genus,False
Sterolibacterium,0.022892857142857142,BAC,Genus,False
Monoglobus,0.022857142857142857,BAC,Genus,False
Pirellula,0.022621428571428563,BAC,Genus,False
PB19,0.022542857142857142,BAC,Genus,False
Fibrobacter,0.022514285714285712,BAC,Genus,False
Fusibacter,0.022371428571428563,BAC,Genus,False
Hydrogenophaga,0.022271428571428577,BAC,Genus,False
Spirochaeta,0.022157142857142858,BAC,Genus,False
Acidaminococcus,0.02208571428571428,BAC,Genus,False
Flexilinea,0.02184285714285714,BAC,Genus,False
Lachnospira,0.021300000000000003,BAC,Genus,False
Chryseobacterium,0.021107142857142852,BAC,Genus,False
RBG-16-55-12,0.020849999999999997,BAC,Genus,False
Marinilabiliaceae,0.020657142857142857,BAC,Genus,False
Vulcanibacillus,0.020571428571428574,BAC,Genus,False
DEV007,0.02044285714285714,BAC,Genus,False
Defluviicoccus,0.02014285714285714,BAC,Genus,False
Lawsonella,0.02002857142857143,BAC,Genus,False
1-20,0.02,BAC,Genus,False
Niabella,0.019500000000000003,BAC,Genus,False
FTLpost3,0.019499999999999993,BAC,Genus,False
Longivirga,0.01944999999999999,BAC,Genus,False
Haliangium,0.019335714285714282,BAC,Genus,False
