Model,domain,feature,importance
XGBoost,Bacteria,BAC_F::Lactobacillaceae,0.019994784146547318
XGBoost,Bacteria,BAC_F::Caldicoprobacteraceae,0.018413648754358292
XGBoost,Archaea,ARC_F::Methanospirillaceae,0.018147615343332292
XGBoost,Bacteria,BAC_F::unidentified,0.017847107723355293
XGBoost,Bacteria,BAC_F::Prevotellaceae,0.01707284301519394
XGBoost,Bacteria,BAC_F::Bifidobacteriaceae,0.016998026892542838
XGBoost,Archaea,ARC_F::Methanosaetaceae,0.016836484521627428
XGBoost,Bacteria,BAC_F::Ruminococcaceae,0.015829344838857652
XGBoost,Bacteria,BAC_F::Comamonadaceae,0.015754331648349763
XGBoost,Bacteria,BAC_F::GZKB124,0.015336897969245911
XGBoost,Archaea,ARC_F::Methanomethylophilaceae,0.015091677010059357
XGBoost,Bacteria,BAC_F::WCHB1-02,0.013262149691581727
XGBoost,Bacteria,BAC_F::D8A-2,0.012539274618029594
XGBoost,Archaea,ARC_F::Methanocorpusculaceae,0.012474795803427696
XGBoost,Bacteria,BAC_F::Erwiniaceae,0.012304670363664626
XGBoost,Archaea,ARC_F::unidentified,0.011432073265314101
XGBoost,Bacteria,BAC_F::SRB2,0.011272629350423813
XGBoost,Bacteria,BAC_F::JS1,0.011102940142154693
XGBoost,Bacteria,BAC_F::Coriobacteriales_Incertae_Sedis,0.011021577566862107
XGBoost,Archaea,ARC_F::Methanofastidiosaceae,0.010935410857200623
XGBoost,Bacteria,BAC_F::WCHB1-41,0.010398493707180023
XGBoost,Bacteria,BAC_F::Lachnospiraceae,0.01029929518699646
XGBoost,Bacteria,BAC_F::Izemoplasmatales,0.01004807949066162
XGBoost,Bacteria,BAC_F::Paludibacteraceae,0.009851125627756118
XGBoost,Bacteria,BAC_F::Rhodocyclaceae,0.009594655781984329
XGBoost,Archaea,ARC_F::Methanomassiliicoccaceae,0.00925498604774475
XGBoost,Bacteria,BAC_F::Syntrophomonadaceae,0.0092447180300951
XGBoost,Bacteria,BAC_F::Alcaligenaceae,0.009232180565595627
XGBoost,Bacteria,BAC_F::Rhodobacteraceae,0.009176430106163026
XGBoost,Bacteria,BAC_F::Caldatribacteriaceae,0.008586522936820985
XGBoost,Bacteria,BAC_F::Thermacetogeniaceae,0.008556672930717468
XGBoost,Bacteria,BAC_F::MgMjR-022,0.008439912647008895
XGBoost,Bacteria,BAC_F::Erysipelatoclostridiaceae,0.008045744150876999
XGBoost,Bacteria,BAC_F::Acholeplasmataceae,0.0075495406985282894
XGBoost,Bacteria,BAC_F::Incertae_Sedis,0.007330694049596786
XGBoost,Bacteria,BAC_F::Marinilabiliaceae,0.0064598038792610165
XGBoost,Bacteria,BAC_F::Rhodanobacteraceae,0.006428858637809754
XGBoost,Bacteria,BAC_F::UCG-010,0.0063582733273506165
XGBoost,Bacteria,BAC_F::Garciellaceae,0.006301652640104294
XGBoost,Bacteria,BAC_F::Chitinophagaceae,0.005934986472129822
XGBoost,Bacteria,BAC_F::Lentimicrobiaceae,0.005810217559337616
XGBoost,Bacteria,BAC_F::Enterobacteriaceae,0.005743509903550148
XGBoost,Bacteria,BAC_F::Dethiobacteraceae,0.005400056764483452
XGBoost,Bacteria,BAC_F::Bacteroidales_UCG-001,0.005108738690614701
XGBoost,Bacteria,BAC_F::W27,0.0047463830560445786
