domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
ARC,Family,3-7-DGDS,3-7,DGDS,DGDS,DGD
ARC,Family,3-8-DGJY,3-8,DGJY,DGJY,DGJ
ARC,Family,3-9-DGGB,3-9,DGGB,DGGB,DGB
ARC,Family,4-1-BSSG,4-1,BSSG,BSSG,BSS
ARC,Family,4-10-DGDC,4-10,DGDC,DGDC,DGC
ARC,Family,4-11-DGYSa,4-11,DGYSa,DGYSa,DGY
ARC,Family,4-12-USOS,4-12,USOS,USOS,USO
ARC,Family,4-13-USYY,4-13,USYY,USYY,USY
ARC,Family,4-14-USYJ,4-14,USYJ,USYJ,USJ
ARC,Family,4-15-GSGA,4-15,GSGA,GSGA,GSG
ARC,Family,4-16-GCGD,4-16,GCGD,GCGD,GCG
ARC,Family,4-17-MGYS,4-17,MGYS,MGYS,MGY
ARC,Family,4-18-ADAS,4-18,ADAS,ADAS,ADA
ARC,Family,4-2-BSNS,4-2,BSNS,BSNS,BSN
ARC,Family,4-21-YCDG,4-21,YCDG,YCDG,YCD
ARC,Family,4-22-UJGN,4-22,UJGN,UJGN,UJG
ARC,Family,4-23-CGSJ,4-23,CGSJ,CGSJ,CGS
ARC,Family,4-25-GHGHb,4-25,GHGHb,GHGHb,GHGb
ARC,Family,4-26-GHHM,4-26,GHHM,GHHM,GHH
ARC,Family,4-27-GHJY,4-27,GHJY,GHJY,GHJ
ARC,Family,4-28-MYSN,4-28,MYSN,MYSN,MYS
ARC,Family,4-29-SCHG,4-29,SCHG,SCHG,SCH
ARC,Family,4-3-BSIGa,4-3,BSIGa,BSIGa,BSI
ARC,Family,4-30-YSDM,4-30,YSDM,YSDM,YSD
ARC,Family,4-31-YSYS,4-31,YSYS,YSYS,YSY
ARC,Family,4-32-JJNG,4-32,JJNG,JJNG,JJN
ARC,Family,4-32'-JJYS,4-32',JJYS,JJYS,JJY
ARC,Family,4-33-CWMS,4-33,CWMS,CWMS,CWM
ARC,Family,4-34-CWSS,4-34,CWSS,CWSS,CWS
ARC,Family,4-4-BSOC,4-4,BSOC,BSOC,BSO
ARC,Family,4-5-BSES,4-5,BSES,BSES,BSE
ARC,Family,4-6-DGGW,4-6,DGGW,DGGW,DGG
ARC,Family,4-7-DGDS,4-7,DGDS,DGDS,DGD
ARC,Family,4-8-DGJY,4-8,DGJY,DGJY,DGJ
ARC,Family,4-9-DGGB,4-9,DGGB,DGGB,DGB
