domain,rank,taxon,feature,samples_above_0_1_percent,included
BAC,Order,SM1A07,BAC_O::SM1A07,1,True
BAC,Order,Saccharimonadales,BAC_O::Saccharimonadales,43,True
BAC,Order,Solibacterales,BAC_O::Solibacterales,2,True
BAC,Order,Solirubrobacterales,BAC_O::Solirubrobacterales,7,True
BAC,Order,Sphingobacteriales,BAC_O::Sphingobacteriales,134,True
BAC,Order,Sphingomonadales,BAC_O::Sphingomonadales,59,True
BAC,Order,Spirochaetales,BAC_O::Spirochaetales,128,True
BAC,Order,Steroidobacterales,BAC_O::Steroidobacterales,7,True
BAC,Order,Sumerlaeales,BAC_O::Sumerlaeales,14,True
BAC,Order,Sva0485,BAC_O::Sva0485,8,True
BAC,Order,Symbiobacteriales,BAC_O::Symbiobacteriales,4,True
BAC,Order,Synergistales,BAC_O::Synergistales,136,True
BAC,Order,Syntrophales,BAC_O::Syntrophales,91,True
BAC,Order,Syntrophobacterales,BAC_O::Syntrophobacterales,45,True
BAC,Order,Syntrophomonadales,BAC_O::Syntrophomonadales,129,True
BAC,Order,Syntrophorhabdales,BAC_O::Syntrophorhabdales,80,True
BAC,Order,TA06,BAC_O::TA06,8,True
BAC,Order,Thermacetogeniales,BAC_O::Thermacetogeniales,27,True
BAC,Order,Thermales,BAC_O::Thermales,3,True
BAC,Order,Thermoanaerobacterales,BAC_O::Thermoanaerobacterales,14,True
BAC,Order,Thermoanaerobaculales,BAC_O::Thermoanaerobaculales,35,True
BAC,Order,Thermotogales,BAC_O::Thermotogales,11,True
BAC,Order,Thermovenabulales,BAC_O::Thermovenabulales,23,True
BAC,Order,UASB-TL25,BAC_O::UASB-TL25,1,True
BAC,Order,VHS-B3-70,BAC_O::VHS-B3-70,1,True
BAC,Order,Veillonellales-Selenomonadales,BAC_O::Veillonellales-Selenomonadales,23,True
BAC,Order,Verrucomicrobiales,BAC_O::Verrucomicrobiales,8,True
BAC,Order,Vibrionales,BAC_O::Vibrionales,1,True
BAC,Order,Vicinamibacterales,BAC_O::Vicinamibacterales,1,True
BAC,Order,WCHB1-41,BAC_O::WCHB1-41,106,True
BAC,Order,WCHB1-81,BAC_O::WCHB1-81,39,True
BAC,Order,WD260,BAC_O::WD260,3,True
BAC,Order,WPS-2,BAC_O::WPS-2,4,True
BAC,Order,WS1,BAC_O::WS1,47,True
BAC,Order,WWE3,BAC_O::WWE3,3,True
BAC,Order,Xanthomonadales,BAC_O::Xanthomonadales,84,True
BAC,Order,Zixibacteria,BAC_O::Zixibacteria,5,True
BAC,Order,c5LKS83,BAC_O::c5LKS83,11,True
BAC,Order,unidentified,BAC_O::unidentified,134,True
ARC,Order,Aenigmarchaeales,ARC_O::Aenigmarchaeales,2,True
ARC,Order,Bathyarchaeia,ARC_O::Bathyarchaeia,67,True
ARC,Order,LKM11,ARC_O::LKM11,1,True
ARC,Order,Lokiarchaeia,ARC_O::Lokiarchaeia,2,True
ARC,Order,Methanofastidiosales,ARC_O::Methanofastidiosales,127,True
ARC,Order,Methanomassiliicoccales,ARC_O::Methanomassiliicoccales,132,True
ARC,Order,Methanomethyliales,ARC_O::Methanomethyliales,20,True
ARC,Order,Methanomicrobiales,ARC_O::Methanomicrobiales,138,True
ARC,Order,Methanosarciniales,ARC_O::Methanosarciniales,135,True
ARC,Order,Micrarchaeales,ARC_O::Micrarchaeales,18,True
ARC,Order,Nitrososphaerales,ARC_O::Nitrososphaerales,13,True
ARC,Order,Odinarchaeia,ARC_O::Odinarchaeia,1,True
ARC,Order,Rhinosporideacae,ARC_O::Rhinosporideacae,1,True
ARC,Order,Teleostei,ARC_O::Teleostei,1,True
ARC,Order,Veneroida,ARC_O::Veneroida,2,True
ARC,Order,Woesearchaeales,ARC_O::Woesearchaeales,52,True
ARC,Order,unidentified,ARC_O::unidentified,115,True
