domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
ARC,Genus,2-13-USYY,2-13,USYY,USYY,USY
ARC,Genus,2-14-USYJ,2-14,USYJ,USYJ,USJ
ARC,Genus,2-15-GSGA,2-15,GSGA,GSGA,GSG
ARC,Genus,2-16-GCGD,2-16,GCGD,GCGD,GCG
ARC,Genus,2-17-MGYS,2-17,MGYS,MGYS,MGY
ARC,Genus,2-18-ADAS,2-18,ADAS,ADAS,ADA
ARC,Genus,2-19-ADPC,2-19,ADPC,ADPC,ADP
ARC,Genus,2-2-BSNS,2-2,BSNS,BSNS,BSN
ARC,Genus,2-20-YCGH,2-20,YCGH,YCGH,YCG
ARC,Genus,2-21-YCDG,2-21,YCDG,YCDG,YCD
ARC,Genus,2-22-UJGN,2-22,UJGN,UJGN,UJG
ARC,Genus,2-23-CGSJ,2-23,CGSJ,CGSJ,CGS
ARC,Genus,2-24-GHGHa,2-24,GHGHa,GHGHa,GHGa
ARC,Genus,2-25-GHGHb,2-25,GHGHb,GHGHb,GHGb
ARC,Genus,2-26-GHHM,2-26,GHHM,GHHM,GHH
ARC,Genus,2-27-GHJY,2-27,GHJY,GHJY,GHJ
ARC,Genus,2-28-MYSN,2-28,MYSN,MYSN,MYS
ARC,Genus,2-29-SCHG-ARC,2-29,SCHG,SCHG-ARC,SCH
ARC,Genus,2-3-BSIGa,2-3,BSIGa,BSIGa,BSI
ARC,Genus,2-30-YSDM,2-30,YSDM,YSDM,YSD
ARC,Genus,2-31-YSYS,2-31,YSYS,YSYS,YSY
ARC,Genus,2-32-JJNG,2-32,JJNG,JJNG,JJN
ARC,Genus,2-32'-JJYS,2-32',JJYS,JJYS,JJY
ARC,Genus,2-33-CWMS,2-33,CWMS,CWMS,CWM
ARC,Genus,2-34-CWSS,2-34,CWSS,CWSS,CWS
ARC,Genus,2-4-BSOC,2-4,BSOC,BSOC,BSO
ARC,Genus,2-5-BSES,2-5,BSES,BSES,BSE
ARC,Genus,2-6-DGGW,2-6,DGGW,DGGW,DGG
ARC,Genus,2-7-DGDS,2-7,DGDS,DGDS,DGD
ARC,Genus,2-8-DGJY,2-8,DGJY,DGJY,DGJ
ARC,Genus,2-9-DGGB,2-9,DGGB,DGGB,DGB
ARC,Genus,3-1-BSSG,3-1,BSSG,BSSG,BSS
ARC,Genus,3-10-DGDC,3-10,DGDC,DGDC,DGC
ARC,Genus,3-11-DGYSa,3-11,DGYSa,DGYSa,DGY
ARC,Genus,3-12-USOS,3-12,USOS,USOS,USO
ARC,Genus,3-13-USYY,3-13,USYY,USYY,USY
ARC,Genus,3-14-USYJ,3-14,USYJ,USYJ,USJ
ARC,Genus,3-15-GSGA,3-15,GSGA,GSGA,GSG
ARC,Genus,3-16-GCGD,3-16,GCGD,GCGD,GCG
ARC,Genus,3-17-MGYS,3-17,MGYS,MGYS,MGY
ARC,Genus,3-18-ADAS,3-18,ADAS,ADAS,ADA
ARC,Genus,3-19-ADPC,3-19,ADPC,ADPC,ADP
ARC,Genus,3-2-BSNS,3-2,BSNS,BSNS,BSN
ARC,Genus,3-20-YCGH,3-20,YCGH,YCGH,YCG
ARC,Genus,3-21-YCDG,3-21,YCDG,YCDG,YCD
ARC,Genus,3-22-UJGN,3-22,UJGN,UJGN,UJG
ARC,Genus,3-23-CGSJ,3-23,CGSJ,CGSJ,CGS
ARC,Genus,3-24-GHGHa,3-24,GHGHa,GHGHa,GHGa
ARC,Genus,3-25-GHGHb,3-25,GHGHb,GHGHb,GHGb
ARC,Genus,3-26-GHHM,3-26,GHHM,GHHM,GHH
ARC,Genus,3-27-GHJY,3-27,GHJY,GHJY,GHJ
ARC,Genus,3-28-MYSN,3-28,MYSN,MYSN,MYS
ARC,Genus,3-29-SCHG,3-29,SCHG,SCHG,SCH
ARC,Genus,3-3-BSIGa,3-3,BSIGa,BSIGa,BSI
ARC,Genus,3-30-YSDM,3-30,YSDM,YSDM,YSD
ARC,Genus,3-31-YSYS,3-31,YSYS,YSYS,YSY
ARC,Genus,3-32-JJNG,3-32,JJNG,JJNG,JJN
ARC,Genus,3-32'-JJYS,3-32',JJYS,JJYS,JJY
ARC,Genus,3-33-CWMS,3-33,CWMS,CWMS,CWM
ARC,Genus,3-34-CWSS,3-34,CWSS,CWSS,CWS
ARC,Genus,3-4-BSOC,3-4,BSOC,BSOC,BSO
ARC,Genus,3-5-BSES,3-5,BSES,BSES,BSE
ARC,Genus,3-6-DGGW,3-6,DGGW,DGGW,DGG
ARC,Genus,3-7-DGDS,3-7,DGDS,DGDS,DGD
ARC,Genus,3-8-DGJY,3-8,DGJY,DGJY,DGJ
ARC,Genus,3-9-DGGB,3-9,DGGB,DGGB,DGB
ARC,Genus,4-1-BSSG,4-1,BSSG,BSSG,BSS
ARC,Genus,4-10-DGDC,4-10,DGDC,DGDC,DGC
ARC,Genus,4-11-DGYSa,4-11,DGYSa,DGYSa,DGY
