Model,candidate,scope,params,MCC_warning_acid_base_balance,AUPR_warning_acid_base_balance,MCC_warning_buffer_capacity,AUPR_warning_buffer_capacity,MCC_warning_acid_accumulation,AUPR_warning_acid_accumulation,MCC_warning_ammonia_toxicity,AUPR_warning_ammonia_toxicity,MCC_warning_biogas_quality,AUPR_warning_biogas_quality,Macro_MCC,Macro_AUPR,AUPR_evaluable_labels,Micro_AUPR
KNN,0,fold_3,"{""weights"": ""uniform"", ""p"": 1, ""n_neighbors"": 3}",-0.11952286093343938,0.08695652173913043,-0.0978231976089037,0.043478260869565216,0.0,,0.567733589433837,0.5177639751552795,0.0,,0.07007750617829879,0.21606625258799173,3,0.20665760869565217
KNN,0,fold_4,"{""weights"": ""uniform"", ""p"": 1, ""n_neighbors"": 3}",0.5461186812727502,0.43333333333333335,0.0,0.1,0.0,0.1,0.629940788348712,0.7555555555555556,0.0,,0.23521189392429243,0.3472222222222222,4,0.4610256410256411
KNN,0,fold_5,"{""weights"": ""uniform"", ""p"": 1, ""n_neighbors"": 3}",0.5110997067272864,0.5018115942028986,-0.0978231976089037,0.043478260869565216,0.0,,0.3882901373576604,0.3959090909090909,0.0,0.043478260869565216,0.16031332929520864,0.24616930171277995,4,0.26053171761226823
KNN,0,pooled_OOF,"{""weights"": ""uniform"", ""p"": 1, ""n_neighbors"": 3}",0.1353147219351753,0.17886510363574584,-0.09898948447251106,0.07157312466270913,-0.02830188679245283,0.027522935779816515,0.46463620251901205,0.43150815510594487,0.23115996593273713,0.23669724770642203,0.14076390382439213,0.18923331337812765,5,0.20613985411196947
KNN,1,fold_1,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 3}",-0.13483997249264842,0.11309523809523808,-0.11396057645963795,0.08333333333333333,0.0,,0.4,0.6666666666666666,0.0,0.041666666666666664,0.03023989020954273,0.22619047619047616,4,0.1324074074074074
KNN,1,fold_2,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 3}",-0.17712297710801905,0.22039473684210525,-0.08084520834544433,0.3026315789473684,0.0,0.05263157894736842,0.44908871313907184,0.29166666666666663,0.5443310539518174,0.43859649122807015,0.14709031632748518,0.26118421052631574,5,0.21361476608187135
KNN,1,fold_3,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 3}",-0.11952286093343938,0.08695652173913043,-0.0978231976089037,0.043478260869565216,0.0,,0.567733589433837,0.5368115942028986,0.0,,0.07007750617829879,0.22241545893719808,3,0.23096316425120772
KNN,1,fold_4,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 3}",0.5461186812727502,0.43333333333333335,0.0,0.1,0.0,0.1,0.629940788348712,0.7805555555555556,0.0,,0.23521189392429243,0.3534722222222222,4,0.4674358974358975
KNN,1,fold_5,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 3}",0.5110997067272864,0.5268115942028985,-0.0978231976089037,0.043478260869565216,0.0,,0.3882901373576604,0.3959090909090909,0.0,0.043478260869565216,0.16031332929520864,0.25241930171277993,4,0.26410348544735895
KNN,1,pooled_OOF,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 3}",0.1353147219351753,0.18601010288600825,-0.09898948447251106,0.07383556810162314,-0.02830188679245283,0.027522935779816515,0.46463620251901205,0.4286926489974924,0.23115996593273713,0.23669724770642203,0.14076390382439213,0.19055170069427246,5,0.208543758379171
KNN,2,fold_1,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 5}",0.13819749820569552,0.14166666666666666,-0.11396057645963795,0.08333333333333333,0.0,,0.5163977794943223,0.6428571428571428,-0.06286946134619315,0.041666666666666664,0.09555304797883733,0.22738095238095235,4,0.14008854206222626
KNN,2,fold_2,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 5}",-0.015430334996209192,0.22039473684210525,0.3217979514674192,0.3026315789473684,0.0,0.05263157894736842,0.40219983326992187,0.5,0.3217979514674192,0.43859649122807015,0.2060730802417102,0.3028508771929824,5,0.23999914559125085
KNN,2,fold_3,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 5}",-0.11952286093343938,0.08695652173913043,-0.11236664374387369,0.043478260869565216,0.0,,0.567733589433837,0.8434782608695652,0.0,,0.06716881695130479,0.3246376811594203,3,0.2937111801242236
KNN,2,fold_4,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 5}",0.32673201960653564,0.8055555555555556,0.0,0.1,0.0,0.1,0.7619047619047619,0.9484126984126984,0.0,,0.21772735630225953,0.4884920634920635,4,0.6497902097902097
KNN,2,fold_5,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 5}",0.3372266367167312,0.5742424242424242,-0.12666009927622474,0.043478260869565216,0.0,,0.5504818825631803,0.3959090909090909,0.0,0.043478260869565216,0.15220968400073737,0.26427700922266134,4,0.2818007951502788
KNN,2,pooled_OOF,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 5}",0.15134519956675563,0.2227966631813924,-0.024018158661866046,0.07383556810162314,-0.03283545516515592,0.027522935779816515,0.5434693024068081,0.5237660891477923,0.12144536431532656,0.23669724770642203,0.15188125049237367,0.21692370078340928,5,0.23841393386376933
KNN,3,fold_1,"{""weights"": ""uniform"", ""p"": 2, ""n_neighbors"": 15}",0.5877538136452587,0.45,-0.13483997249264842,0.08333333333333333,0.0,,0.5163977794943223,0.55,-0.10696563746013954,0.041666666666666664,0.1724691966373586,0.28125000000000006,4,0.18534151034151033
KNN,3,fold_2,"{""weights"": ""uniform"", ""p"": 2, ""n_neighbors"": 15}",0.6055300708194984,0.7250000000000001,0.5048781642974013,0.26666666666666666,0.0,0.05263157894736842,0.5739440431835514,0.6666666666666666,0.3967876966218537,0.33040935672514615,0.416227994984461,0.4082748538011696,5,0.3660818713450293
KNN,3,fold_3,"{""weights"": ""uniform"", ""p"": 2, ""n_neighbors"": 15}",0.21144501580551553,0.14347826086956522,-0.1556997888323046,0.08333333333333333,0.0,,0.7444444444444445,0.8434782608695652,0.0,,0.16003793428353108,0.3567632850241546,3,0.1441493741765481
KNN,3,fold_4,"{""weights"": ""uniform"", ""p"": 2, ""n_neighbors"": 15}",0.21568627450980393,0.4583333333333333,-0.5091750772173156,0.08888888888888888,0.0,0.1,0.8017837257372732,0.65515873015873,0.0,,0.10165898460595231,0.32559523809523805,4,0.24331738892458532
KNN,3,fold_5,"{""weights"": ""uniform"", ""p"": 2, ""n_neighbors"": 15}",0.29175581826225594,0.3075757575757576,0.08257228238447704,0.05,0.0,,0.5504818825631803,0.41479797979797983,0.0,0.043478260869565216,0.18496199664198265,0.20396299956082564,4,0.18633651606864693
KNN,3,pooled_OOF,"{""weights"": ""uniform"", ""p"": 2, ""n_neighbors"": 15}",0.3975194248005486,0.3690176530052407,-0.057510246173236544,0.06654143613961208,-0.0563625974833598,0.027522935779816515,0.6332836328761776,0.5115179064335127,0.13043837641003445,0.0710523475445224,0.20947371808603288,0.20913045578054085,5,0.19167344078287812
KNN,4,fold_1,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 15}",0.4698714938993648,0.30952380952380953,-0.11396057645963795,0.08333333333333333,0.0,,0.6324555320336759,0.75,-0.17622684421256035,0.041666666666666664,0.16242792105216847,0.2961309523809524,4,0.1910968660968661
