block,workbook_sample,SampleID
ARC_C,3-11-DGYSa,3-11
ARC_C,3-12-USOS,3-12
ARC_C,3-13-USYY,3-13
ARC_C,3-14-USYJ,3-14
ARC_C,3-15-GSGA,3-15
ARC_C,3-16-GCGD,3-16
ARC_C,3-17-MGYS,3-17
ARC_C,3-18-ADAS,3-18
ARC_C,3-19-ADPC,3-19
ARC_C,3-2-BSNS,3-2
ARC_C,3-20-YCGH,3-20
ARC_C,3-21-YCDG,3-21
ARC_C,3-22-UJGN,3-22
ARC_C,3-23-CGSJ,3-23
ARC_C,3-24-GHGHa,3-24
ARC_C,3-25-GHGHb,3-25
ARC_C,3-26-GHHM,3-26
ARC_C,3-27-GHJY,3-27
ARC_C,3-28-MYSN,3-28
ARC_C,3-29-SCHG,3-29
ARC_C,3-3-BSIGa,3-3
ARC_C,3-30-YSDM,3-30
ARC_C,3-31-YSYS,3-31
ARC_C,3-32-JJNG,3-32
ARC_C,3-32'-JJYS,3-32'
ARC_C,3-33-CWMS,3-33
ARC_C,3-34-CWSS,3-34
ARC_C,3-4-BSOC,3-4
ARC_C,3-5-BSES,3-5
ARC_C,3-6-DGGW,3-6
ARC_C,3-7-DGDS,3-7
ARC_C,3-8-DGJY,3-8
ARC_C,3-9-DGGB,3-9
ARC_C,4-1-BSSG,4-1
ARC_C,4-10-DGDC,4-10
ARC_C,4-11-DGYSa,4-11
ARC_C,4-12-USOS,4-12
ARC_C,4-13-USYY,4-13
ARC_C,4-14-USYJ,4-14
ARC_C,4-15-GSGA,4-15
ARC_C,4-16-GCGD,4-16
ARC_C,4-17-MGYS,4-17
ARC_C,4-18-ADAS,4-18
ARC_C,4-2-BSNS,4-2
ARC_C,4-21-YCDG,4-21
ARC_C,4-22-UJGN,4-22
ARC_C,4-23-CGSJ,4-23
ARC_C,4-25-GHGHb,4-25
ARC_C,4-26-GHHM,4-26
ARC_C,4-27-GHJY,4-27
ARC_C,4-28-MYSN,4-28
ARC_C,4-29-SCHG,4-29
ARC_C,4-3-BSIGa,4-3
ARC_C,4-30-YSDM,4-30
ARC_C,4-31-YSYS,4-31
ARC_C,4-32-JJNG,4-32
ARC_C,4-32'-JJYS,4-32'
ARC_C,4-33-CWMS,4-33
ARC_C,4-34-CWSS,4-34
ARC_C,4-4-BSOC,4-4
ARC_C,4-5-BSES,4-5
ARC_C,4-6-DGGW,4-6
ARC_C,4-7-DGDS,4-7
ARC_C,4-8-DGJY,4-8
ARC_C,4-9-DGGB,4-9
