bacterium,archaeon,rho_conditioned,rho_raw,q,patristic_distance
F00243,F00181,0.4092363050213589,0.3060464988846752,6.779657338350487e-05,1.12079467
F00040,F00196,0.4078664076038438,0.004783225149490057,6.779657338350487e-05,1.4421021499999997
F00137,F00309,0.4074737036774895,0.585747587268173,6.779657338350487e-05,1.11710268
F00276,F00188,0.40659240300555505,0.06532355835420521,9.523804356254258e-05,1.2699341499999999
F00169,F00188,0.40154661418437426,0.29254844299742677,0.00012195115334228012,1.1810175599999997
F00004,F00190,0.40129089999977147,0.2685067433200376,0.00012195115334228012,1.33606519
F00257,F00184,0.39807164106861137,0.1981396793070146,0.00012195115334228012,0.99279067
F00282,F00190,0.39588437152531225,0.33154485614935525,0.00012195115334228012,1.19117775
F00144,F00179,0.3935829438638868,0.6420686364269421,0.00012195115334228012,1.0801436
F00169,F00196,0.3883499357289794,0.20318090180346993,0.0001860464106803157,1.22079404
F00043,F00312,0.38021274506894004,0.5333033478009717,0.0002637361206347333,1.10501141
F00232,F00190,0.37819899586519273,0.2651459283224008,0.0003043476609498643,1.15869443
F00057,F00184,0.37654598631472475,0.3372436294062178,0.0003090907413802518,1.14473172
F00289,F00309,0.37364180378959283,0.49776820879063177,0.0003090907413802518,0.9604111699999999
F00157,F00309,0.3727970337154586,0.7010153223026145,0.0003090907413802518,1.1816379
F00100,F00309,0.3719750952649495,0.2659496014740097,0.0003090907413802518,1.06503796
F00276,F00196,0.3710252997221392,-0.016491281744518704,0.0003090907413802518,1.30971063
F00199,F00181,0.36711195943277114,0.40194845076017877,0.00041441418955592846,1.17035401
F00242,F00112,0.36635851585313767,0.3421295968620216,0.0004285711960314416,0.9727072000000001
F00083,F00181,0.3628698437631997,0.39578847870608647,0.0005042014070958137,1.00599327
F00157,F00183,0.3596962480792896,0.2146378105386209,0.0005666663591971284,1.20781838
F00298,F00195,0.359171120735909,0.3397368427060954,0.0005950409994486131,1.04189071
F00099,F00112,0.35876015151065416,0.41401724700848647,0.0006065570479352097,1.27588619
F00147,F00065,0.3583811465584749,0.600017352033955,0.0006178858436008859,1.07176152
