block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_O,Vibrionales,BAC_O::Vibrionales,1,1,True
BAC_O,Vicinamibacterales,BAC_O::Vicinamibacterales,1,1,True
BAC_O,WCHB1-41,BAC_O::WCHB1-41,106,83,True
BAC_O,WCHB1-81,BAC_O::WCHB1-81,39,27,True
BAC_O,WPS-2,BAC_O::WPS-2,4,3,True
BAC_O,WS1,BAC_O::WS1,47,37,True
BAC_O,WWE3,BAC_O::WWE3,3,2,True
BAC_O,Xanthomonadales,BAC_O::Xanthomonadales,84,62,True
BAC_O,Zixibacteria,BAC_O::Zixibacteria,5,3,True
BAC_O,c5LKS83,BAC_O::c5LKS83,11,3,True
BAC_O,unidentified,BAC_O::unidentified,134,108,True
ARC_O,Aenigmarchaeales,ARC_O::Aenigmarchaeales,2,2,True
ARC_O,Bathyarchaeia,ARC_O::Bathyarchaeia,67,51,True
ARC_O,Lokiarchaeia,ARC_O::Lokiarchaeia,2,1,True
ARC_O,Methanofastidiosales,ARC_O::Methanofastidiosales,127,98,True
ARC_O,Methanomassiliicoccales,ARC_O::Methanomassiliicoccales,132,104,True
ARC_O,Methanomethyliales,ARC_O::Methanomethyliales,20,12,True
ARC_O,Methanomicrobiales,ARC_O::Methanomicrobiales,138,109,True
ARC_O,Methanosarciniales,ARC_O::Methanosarciniales,135,106,True
ARC_O,Micrarchaeales,ARC_O::Micrarchaeales,18,13,True
ARC_O,Nitrososphaerales,ARC_O::Nitrososphaerales,13,10,True
ARC_O,Rhinosporideacae,ARC_O::Rhinosporideacae,1,1,True
ARC_O,Teleostei,ARC_O::Teleostei,1,1,True
ARC_O,Veneroida,ARC_O::Veneroida,2,2,True
ARC_O,Woesearchaeales,ARC_O::Woesearchaeales,52,40,True
ARC_O,unidentified,ARC_O::unidentified,115,93,True
ARC_G,Aenigmarchaeales,ARC_G::Aenigmarchaeales,2,2,True
ARC_G,Bathyarchaeia,ARC_G::Bathyarchaeia,67,51,True
ARC_G,Candidatus_Methanofastidiosum,ARC_G::Candidatus_Methanofastidiosum,127,98,True
ARC_G,Candidatus_Methanogranum,ARC_G::Candidatus_Methanogranum,15,8,True
ARC_G,Candidatus_Methanomethylicus,ARC_G::Candidatus_Methanomethylicus,20,12,True
ARC_G,Candidatus_Methanomethylophilus,ARC_G::Candidatus_Methanomethylophilus,1,1,True
ARC_G,Candidatus_Methanoplasma,ARC_G::Candidatus_Methanoplasma,44,38,True
ARC_G,Candidatus_Nitrocosmicus,ARC_G::Candidatus_Nitrocosmicus,9,6,True
ARC_G,Lokiarchaeia,ARC_G::Lokiarchaeia,2,1,True
ARC_G,Methanimicrococcus,ARC_G::Methanimicrococcus,6,6,True
ARC_G,Methanocorpusculum,ARC_G::Methanocorpusculum,29,20,True
ARC_G,Methanoculleus,ARC_G::Methanoculleus,118,100,True
ARC_G,Methanofollis,ARC_G::Methanofollis,3,3,True
ARC_G,Methanogenium,ARC_G::Methanogenium,5,4,True
ARC_G,Methanohalophilus,ARC_G::Methanohalophilus,1,1,True
ARC_G,Methanolinea,ARC_G::Methanolinea,105,80,True
ARC_G,Methanomassiliicoccus,ARC_G::Methanomassiliicoccus,113,93,True
ARC_G,Methanomethylovorans,ARC_G::Methanomethylovorans,67,48,True
ARC_G,Methanoregula,ARC_G::Methanoregula,33,21,True
ARC_G,Methanosaeta,ARC_G::Methanosaeta,132,103,True
ARC_G,Methanosarcina,ARC_G::Methanosarcina,68,53,True
ARC_G,Methanosphaerula,ARC_G::Methanosphaerula,60,48,True
ARC_G,Methanospirillum,ARC_G::Methanospirillum,127,98,True
ARC_G,Micrarchaeales,ARC_G::Micrarchaeales,18,13,True
ARC_G,Nitrososphaeraceae,ARC_G::Nitrososphaeraceae,4,4,True
ARC_G,Rhinosporideacae,ARC_G::Rhinosporideacae,1,1,True
ARC_G,RumEn_M2,ARC_G::RumEn_M2,25,21,True
ARC_G,SCGC_AAA011-D5,ARC_G::SCGC_AAA011-D5,46,38,True
ARC_G,Teleostei,ARC_G::Teleostei,1,1,True
ARC_G,Veneroida,ARC_G::Veneroida,2,2,True
ARC_G,Woesearchaeales,ARC_G::Woesearchaeales,11,5,True
ARC_G,unidentified,ARC_G::unidentified,129,101,True
