SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,Group
2-2,2607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2510.0,0.0,32.0,0.0,136.0,0.0,0.0,464.0,82.0,254.0,0.0,0.0,0.0,70.0,0.0,971.0,32.0,0.0,0.0,0.0,0.0,137.0,Normal
2-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.0,0.0,0.0,0.0,0.0,429.0,1078.0,0.0,654.0,0.0,193.0,239.0,0.0,22.0,49.0,0.0,0.0,0.0,0.0,0.0,Warning
2-21,0.0,0.0,0.0,23.0,0.0,0.0,2443.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,182.0,25.0,0.0,711.0,3582.0,42.0,0.0,92.0,0.0,125.0,50.0,2584.0,0.0,26.0,0.0,0.0,0.0,0.0,Normal
2-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,136.0,0.0,25.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2980.0,3755.0,0.0,24.0,0.0,0.0,0.0,0.0,758.0,356.0,228.0,296.0,0.0,0.0,0.0,Normal
2-23,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,918.0,374.0,0.0,113.0,0.0,3199.0,4233.0,112.0,0.0,101.0,0.0,143.0,0.0,2596.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
2-24,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,27.0,0.0,0.0,9.0,45.0,1981.0,0.0,21.0,42.0,0.0,0.0,0.0,1389.0,2999.0,0.0,0.0,78.0,0.0,88.0,0.0,1360.0,105.0,77.0,61.0,0.0,0.0,0.0,Normal
2-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,32.0,0.0,0.0,0.0,3737.0,0.0,0.0,0.0,251.0,1273.0,37.0,0.0,0.0,0.0,144.0,0.0,1233.0,0.0,24.0,32.0,0.0,0.0,0.0,Normal
2-26,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,74.0,340.0,0.0,56.0,3217.0,444.0,0.0,707.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,34.0,0.0,0.0,0.0,Normal
2-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,125.0,88.0,0.0,103.0,11.0,0.0,5.0,0.0,0.0,0.0,Warning
2-28,45.0,0.0,16.0,0.0,0.0,0.0,35.0,29.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1099.0,106.0,0.0,0.0,0.0,3396.0,8493.0,154.0,0.0,0.0,327.0,0.0,15.0,2327.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
2-29,807.0,0.0,30.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,4284.0,0.0,414.0,7664.0,26.0,101.0,0.0,5980.0,7074.0,334.0,29.0,435.0,0.0,291.0,140.0,5954.0,31.0,0.0,0.0,0.0,0.0,558.0,Normal
2-3,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1169.0,0.0,0.0,877.0,0.0,0.0,0.0,1321.0,630.0,0.0,40.0,19.0,0.0,77.0,0.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
2-30,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,1929.0,0.0,124.0,0.0,910.0,1323.0,20.0,21.0,0.0,0.0,278.0,0.0,2837.0,0.0,0.0,35.0,0.0,0.0,0.0,Normal
2-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,2770.0,0.0,0.0,0.0,0.0,77.0,116.0,0.0,2825.0,0.0,561.0,354.0,0.0,14.0,0.0,0.0,19.0,0.0,0.0,0.0,Warning
2-32,0.0,0.0,11.0,3.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,0.0,123.0,540.0,0.0,22.0,0.0,2369.0,2348.0,18.0,0.0,0.0,0.0,348.0,0.0,1531.0,39.0,0.0,0.0,0.0,0.0,87.0,Normal
2-32',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,520.0,0.0,96.0,77.0,0.0,1901.0,0.0,0.0,0.0,0.0,2670.0,741.0,243.0,1247.0,0.0,0.0,154.0,0.0,1434.0,227.0,111.0,200.0,0.0,0.0,0.0,Normal
2-33,1047.0,0.0,0.0,15.0,233.0,47.0,1356.0,0.0,911.0,0.0,0.0,0.0,1369.0,1298.0,0.0,0.0,844.0,0.0,30.0,0.0,458.0,1715.0,86.0,0.0,405.0,0.0,190.0,105.0,0.0,2868.0,1490.0,1905.0,3.0,0.0,0.0,Normal
2-34,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,0.0,0.0,0.0,490.0,3583.0,0.0,0.0,0.0,54.0,58.0,0.0,584.0,0.0,0.0,0.0,0.0,0.0,34.0,Normal
2-4,56.0,0.0,0.0,3.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,125.0,0.0,0.0,171.0,0.0,2481.0,3907.0,263.0,0.0,28.0,0.0,365.0,0.0,1634.0,0.0,0.0,0.0,8.0,2.0,45.0,Normal
2-5,495.0,0.0,0.0,0.0,0.0,160.0,1750.0,0.0,36.0,0.0,0.0,0.0,0.0,267.0,0.0,168.0,249.0,118.0,110.0,0.0,1170.0,2708.0,293.0,108.0,175.0,0.0,209.0,139.0,1757.0,0.0,0.0,0.0,24.0,0.0,85.0,Normal
2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1075.0,0.0,34.0,43.0,0.0,1816.0,3059.0,18.0,147.0,0.0,0.0,83.0,29.0,1384.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
2-7,0.0,0.0,0.0,131.0,0.0,236.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,19.0,0.0,236.0,0.0,67.0,503.0,1604.0,750.0,123.0,62.0,983.0,0.0,273.0,95.0,1024.0,0.0,0.0,15.0,10.0,0.0,0.0,Normal
2-8,14.0,0.0,0.0,14.0,0.0,18.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,97.0,323.0,39.0,1028.0,0.0,2724.0,1190.0,64.0,0.0,582.0,0.0,446.0,86.0,1505.0,0.0,0.0,0.0,0.0,0.0,50.0,Normal
2-9,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4365.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,60.0,43.0,0.0,0.0,0.0,0.0,Normal
3-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,1344.0,0.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,28.0,0.0,0.0,3881.0,1899.0,2772.0,0.0,0.0,0.0,Normal
