Rank,Feature,Block,Taxon,CV folds containing feature,Multilabel MCC mean drop,Multilabel MCC SD,Micro-AUPR mean drop,Micro-AUPR SD
121,ARC_G::Aenigmarchaeales,ARC_G,Aenigmarchaeales,4,0.0,0.0,0.0,0.0
122,ARC_G::Methanohalophilus,ARC_G,Methanohalophilus,4,0.0,0.0,0.0,0.0
123,ARC_G::Woesearchaeales,ARC_G,Woesearchaeales,5,0.0,0.0,0.0,0.0
124,ARC_G::Lokiarchaeia,ARC_G,Lokiarchaeia,4,0.0,0.0,0.0,0.0
125,ARC_G::Methanofollis,ARC_G,Methanofollis,4,0.0,0.0,0.0,0.0
126,ARC_G::Candidatus_Methanomethylophilus,ARC_G,Candidatus_Methanomethylophilus,4,0.0,0.0,0.0,0.0
127,ARC_O::Teleostei,ARC_O,Teleostei,4,0.0,0.0,0.0,0.0
128,BAC_O::Chlamydiales,BAC_O,Chlamydiales,5,0.0,0.0,0.0,0.0
129,BAC_P::Latescibacterota,BAC_P,Latescibacterota,4,0.0,0.0,0.0,0.0
130,BAC_O::Arenicellales,BAC_O,Arenicellales,4,0.0,0.0,0.0,0.0
131,BAC_O::C10-SB1A,BAC_O,C10-SB1A,4,0.0,0.0,0.0,0.0
132,BAC_O::Bacteriovoracales,BAC_O,Bacteriovoracales,4,0.0,0.0,0.0,0.0
133,BAC_O::Chthoniobacterales,BAC_O,Chthoniobacterales,4,0.0,0.0,0.0,0.0
134,BAC_O::Candidatus_Shapirobacteria,BAC_O,Candidatus_Shapirobacteria,4,0.0,0.0,0.0,0.0
135,BAC_O::Alteromonadales,BAC_O,Alteromonadales,4,0.0,0.0,0.0,0.0
136,BAC_O::Acidobacteriae,BAC_O,Acidobacteriae,4,0.0,0.0,0.0,0.0
137,BAC_O::Ardenticatenales,BAC_O,Ardenticatenales,4,0.0,0.0,0.0,0.0
138,BAC_O::Acetothermiia,BAC_O,Acetothermiia,4,0.0,0.0,0.0,0.0
139,BAC_O::053A03-B-DI-P58,BAC_O,053A03-B-DI-P58,4,0.0,0.0,0.0,0.0
140,BAC_P::Zixibacteria,BAC_P,Zixibacteria,5,0.0,0.0,0.0,0.0
141,BAC_P::WPS-2,BAC_P,WPS-2,5,0.0,0.0,0.0,0.0
142,BAC_P::Sva0485,BAC_P,Sva0485,4,0.0,0.0,0.0,0.0
143,ARC_O::Veneroida,ARC_O,Veneroida,4,0.0,0.0,0.0,0.0
144,ARC_O::Rhinosporideacae,ARC_O,Rhinosporideacae,4,0.0,0.0,0.0,0.0
145,BAC_O::CCM19a,BAC_O,CCM19a,4,0.0,0.0,0.0,0.0
146,BAC_O::Bradymonadales,BAC_O,Bradymonadales,4,0.0,0.0,0.0,0.0
147,ARC_O::Lokiarchaeia,ARC_O,Lokiarchaeia,4,0.0,0.0,0.0,0.0
148,ARC_O::Aenigmarchaeales,ARC_O,Aenigmarchaeales,4,0.0,0.0,0.0,0.0
149,BAC_O::c5LKS83,BAC_O,c5LKS83,5,0.0,0.0,0.0,0.0
150,BAC_O::Cardiobacteriales,BAC_O,Cardiobacteriales,4,0.0,0.0,0.0,0.0
151,BAC_P::Acetothermia,BAC_P,Acetothermia,4,0.0,0.0,0.0,0.0
152,BAC_O::Propionibacteriales,BAC_O,Propionibacteriales,5,0.0,0.0,0.0,0.0
153,BAC_P::Cyanobacteria,BAC_P,Cyanobacteria,4,0.0,0.0,0.0,0.0
154,ARC_G::Teleostei,ARC_G,Teleostei,4,0.0,0.0,0.0,0.0
155,BAC_O::Rickettsiales,BAC_O,Rickettsiales,4,0.0,0.0,0.0,0.0
156,BAC_O::SM1A07,BAC_O,SM1A07,4,0.0,0.0,0.0,0.0
157,BAC_O::Polyangiales,BAC_O,Polyangiales,4,0.0,0.0,0.0,0.0
158,BAC_O::PB19,BAC_O,PB19,4,0.0,0.0,0.0,0.0
159,BAC_O::Steroidobacterales,BAC_O,Steroidobacterales,4,0.0,0.0,0.0,0.0
160,BAC_O::Nitrosococcales,BAC_O,Nitrosococcales,5,0.0,0.0,0.0,0.0
161,BAC_O::Myxococcales,BAC_O,Myxococcales,4,0.0,0.0,0.0,0.0
162,BAC_O::RBG-16-55-12,BAC_O,RBG-16-55-12,5,0.0,0.0,0.0,0.0
163,BAC_O::Solibacterales,BAC_O,Solibacterales,4,0.0,0.0,0.0,0.0
