Feature,Repeat,Multilabel MCC drop,Micro-AUPR drop
BAC_P::Caldatribacteriota,17,-0.005152513601438313,-0.003804697729299089
BAC_P::Caldatribacteriota,18,-0.005152513601438313,-0.0010801392475836558
BAC_P::Caldatribacteriota,19,-0.005152513601438313,-0.0008061828315691355
BAC_P::Caldatribacteriota,20,-0.010415691684064532,-0.0006146322930574155
BAC_P::Caldatribacteriota,21,-0.005152513601438313,-0.0005367870252233065
BAC_P::Caldatribacteriota,22,-0.005152513601438313,-0.0010227523214178524
BAC_P::Caldatribacteriota,23,-0.005152513601438313,0.0015063472210292694
BAC_P::Caldatribacteriota,24,0.0,-0.0017452141360230766
BAC_P::Caldatribacteriota,25,-0.010415691684064532,-0.001395212322397421
BAC_P::Caldatribacteriota,26,-0.005152513601438313,-0.002308047366745558
BAC_P::Caldatribacteriota,27,-0.005152513601438313,-0.0011314433561405712
BAC_P::Caldatribacteriota,28,-0.005152513601438313,-0.0006290283121134777
BAC_P::Caldatribacteriota,29,-0.010415691684064532,-0.000693703857111927
BAC_P::Caldatribacteriota,30,-0.010415691684064532,-0.0025721789390290017
BAC_P::Caldisericota,1,0.0,-0.0008155266339781586
BAC_P::Caldisericota,2,0.01421537249116317,0.0014998074177539622
BAC_P::Caldisericota,3,0.01421537249116317,0.0013557341192860783
BAC_P::Caldisericota,4,0.01421537249116317,-0.0009516743888154378
BAC_P::Caldisericota,5,-0.005152513601438313,-0.0012299665993614761
BAC_P::Caldisericota,6,0.01421537249116317,0.003142047433055517
BAC_P::Caldisericota,7,0.019235943416908985,-0.0037362146158387843
BAC_P::Caldisericota,8,0.009087541171129587,0.0005902960500154264
BAC_P::Caldisericota,9,0.0,-0.004298575380261738
BAC_P::Caldisericota,10,0.019235943416908985,0.004551362802677372
BAC_P::Caldisericota,11,0.01421537249116317,0.0019201482838264727
BAC_P::Caldisericota,12,0.005046084383587002,-0.0005444720924749347
BAC_P::Caldisericota,13,0.0,-0.0008465888167955016
BAC_P::Caldisericota,14,0.009087541171129587,0.003047789666913381
BAC_P::Caldisericota,15,0.019235943416908985,0.0012502558385174
BAC_P::Caldisericota,16,0.009087541171129587,0.0035146754696420146
BAC_P::Caldisericota,17,0.0,0.00024364162481599339
BAC_P::Caldisericota,18,0.01421537249116317,0.004405971787747709
BAC_P::Caldisericota,19,0.009087541171129587,-0.0025757411192985358
BAC_P::Caldisericota,20,0.01421537249116317,0.0025832499965716127
BAC_P::Caldisericota,21,0.009087541171129587,0.002434282788973008
BAC_P::Caldisericota,22,0.009087541171129587,-0.0022994660073752393
BAC_P::Caldisericota,23,0.009087541171129587,0.0021729744898995595
BAC_P::Caldisericota,24,-0.005152513601438313,-0.0004438284739896603
BAC_P::Caldisericota,25,0.01421537249116317,-0.0003074150125342845
BAC_P::Caldisericota,26,0.005046084383587002,-0.0005436946658634034
BAC_P::Caldisericota,27,0.019235943416908985,0.00028329524889358915
BAC_P::Caldisericota,28,0.01421537249116317,-0.0012605368936425276
BAC_P::Caldisericota,29,0.0,-0.0020187366700700204
BAC_P::Caldisericota,30,0.01421537249116317,0.005375318258850237
BAC_P::Campilobacterota,1,0.0,5.920341039628019e-05
BAC_P::Campilobacterota,2,0.0,1.919694357266355e-05
BAC_P::Campilobacterota,3,0.0,0.000284411626487846
BAC_P::Campilobacterota,4,0.0,9.59773255548857e-06
BAC_P::Campilobacterota,5,0.0,-0.0001576098301704354
BAC_P::Campilobacterota,6,0.0,0.0003286226010401072
BAC_P::Campilobacterota,7,0.0,-5.166585014371172e-06
BAC_P::Campilobacterota,8,0.0,-0.0004563493313731737
BAC_P::Campilobacterota,9,0.0,-3.2019443132913494e-05
BAC_P::Campilobacterota,10,0.0,4.689251278333639e-06
BAC_P::Campilobacterota,11,0.0,0.0003069538666050642
BAC_P::Campilobacterota,12,0.0,-1.5178761267720109e-05
BAC_P::Campilobacterota,13,0.0,-2.603651490684644e-06
BAC_P::Campilobacterota,14,0.0,4.014960715198468e-05
BAC_P::Campilobacterota,15,0.0,1.9444489717079794e-05
BAC_P::Campilobacterota,16,0.0,-3.2019443132913494e-05
BAC_P::Campilobacterota,17,0.0,0.0003072612087555715
BAC_P::Campilobacterota,18,0.0,5.464579503999811e-05
BAC_P::Campilobacterota,19,0.0,-3.505033764689136e-05
BAC_P::Campilobacterota,20,0.0,-2.8223263365267925e-05
BAC_P::Campilobacterota,21,0.0,0.00032840349767404575
BAC_P::Campilobacterota,22,0.0,2.9810505963012712e-05
BAC_P::Campilobacterota,23,0.0,-0.00016474424660251064
BAC_P::Campilobacterota,24,0.0,-2.98131935086432e-05
BAC_P::Campilobacterota,25,0.0,0.00031105738852321707
BAC_P::Campilobacterota,26,0.0,-2.9991144307683903e-05
BAC_P::Campilobacterota,27,0.0,-0.000130062200363934
BAC_P::Campilobacterota,28,0.0,0.0003069538666050642
BAC_P::Campilobacterota,29,0.0,9.920382254058335e-06
BAC_P::Campilobacterota,30,0.0,1.7491294446003725e-05
BAC_P::Chloroflexi,1,0.0,0.00880454315628576
BAC_P::Chloroflexi,2,0.009087541171129587,0.009251211959573513
BAC_P::Chloroflexi,3,0.009087541171129587,0.012606322500730627
BAC_P::Chloroflexi,4,0.01421537249116317,0.0008574016557380548
BAC_P::Chloroflexi,5,-0.005152513601438313,-0.002150259364951501
BAC_P::Chloroflexi,6,0.009087541171129587,0.013468348580365885
BAC_P::Chloroflexi,7,0.009087541171129587,0.0030125625938671186
BAC_P::Chloroflexi,8,0.009087541171129587,-0.012567211299935488
BAC_P::Chloroflexi,9,0.009087541171129587,-0.013202310397097905
BAC_P::Chloroflexi,10,0.009087541171129587,0.013648709135559378
BAC_P::Chloroflexi,11,0.009087541171129587,0.0111943266849866
BAC_P::Chloroflexi,12,0.0,0.007945580015814468
BAC_P::Chloroflexi,13,0.0,0.006049250559924446
BAC_P::Chloroflexi,14,0.009087541171129587,0.010403791341968449
BAC_P::Chloroflexi,15,0.009087541171129587,0.010433533326997035
BAC_P::Chloroflexi,16,0.009087541171129587,0.0024404442231013013
BAC_P::Chloroflexi,17,-0.005152513601438313,0.0020457833939668824
BAC_P::Chloroflexi,18,0.009087541171129587,0.013350516647868516
BAC_P::Chloroflexi,19,0.009087541171129587,0.01405705899989279
BAC_P::Chloroflexi,20,0.009087541171129587,0.01559011688286377
BAC_P::Chloroflexi,21,0.009087541171129587,0.005346863204800267
BAC_P::Chloroflexi,22,0.009087541171129587,0.0060128510678647
BAC_P::Chloroflexi,23,0.009087541171129587,0.01206313914408097
BAC_P::Chloroflexi,24,-0.005152513601438313,0.015393173713351749
BAC_P::Chloroflexi,25,0.009087541171129587,0.004197527754213393
BAC_P::Chloroflexi,26,-0.005152513601438313,0.0030965018893449048
BAC_P::Chloroflexi,27,0.009087541171129587,0.009160683181766438
BAC_P::Chloroflexi,28,0.01421537249116317,0.005274963667941501
BAC_P::Chloroflexi,29,0.0,0.00871364110630507
BAC_P::Chloroflexi,30,0.009087541171129587,0.015071071656842405
BAC_P::Cloacimonadota,1,-0.005152513601438313,0.0021019057353554027
BAC_P::Cloacimonadota,2,-0.010415691684064532,-0.0029078765582337684
BAC_P::Cloacimonadota,3,-0.005152513601438313,-0.0006131052927214609
BAC_P::Cloacimonadota,4,-0.010415691684064532,-0.005772790446086085
BAC_P::Cloacimonadota,5,-0.005152513601438313,-0.0017645742157335054
BAC_P::Cloacimonadota,6,-0.010415691684064532,-0.004924819237745459
BAC_P::Cloacimonadota,7,0.005046084383587002,-0.0026210628520213497
BAC_P::Cloacimonadota,8,-0.010415691684064532,0.005560058521837163
BAC_P::Cloacimonadota,9,-0.005152513601438313,-0.013677638725060781
BAC_P::Cloacimonadota,10,-0.005152513601438313,-0.0048809595725804455
BAC_P::Cloacimonadota,11,-0.005152513601438313,0.00227431626516994
BAC_P::Cloacimonadota,12,-0.005152513601438313,-0.003341181711431107
BAC_P::Cloacimonadota,13,-0.010415691684064532,-0.005210230531132676
BAC_P::Cloacimonadota,14,-0.010415691684064532,-0.0018929721302640146
BAC_P::Cloacimonadota,15,0.0,-0.0030600963221487643
BAC_P::Cloacimonadota,16,-0.005152513601438313,-0.00046707982054278174
BAC_P::Cloacimonadota,17,-0.010415691684064532,-0.0011347947937871417
BAC_P::Cloacimonadota,18,-0.005152513601438313,0.0002539831510802726
BAC_P::Cloacimonadota,19,-0.005152513601438313,-0.0053008548400721445
BAC_P::Cloacimonadota,20,-0.005152513601438313,0.0011621454141508836
BAC_P::Cloacimonadota,21,-0.010415691684064532,-0.000931117186039998
BAC_P::Cloacimonadota,22,-0.010415691684064532,-0.001124435291330217
BAC_P::Cloacimonadota,23,-0.005152513601438313,-0.0023160954410694767
BAC_P::Cloacimonadota,24,-0.010415691684064532,-0.005228276916023511
BAC_P::Cloacimonadota,25,-0.010415691684064532,-0.010509889001752648
BAC_P::Cloacimonadota,26,-0.010415691684064532,-0.0021968325671943845
BAC_P::Cloacimonadota,27,0.0,-0.002085610937770377
BAC_P::Cloacimonadota,28,0.0,-0.004696379960037966
BAC_P::Cloacimonadota,29,-0.005152513601438313,-0.00016541522893087635
BAC_P::Cloacimonadota,30,-0.005152513601438313,0.00492258181041072
BAC_P::Coprothermobacterota,1,0.0,-0.0006883679681153887
BAC_P::Coprothermobacterota,2,0.0,0.0
BAC_P::Coprothermobacterota,3,0.0,0.0
BAC_P::Coprothermobacterota,4,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,5,0.0,0.0
BAC_P::Coprothermobacterota,6,0.0,0.0
BAC_P::Coprothermobacterota,7,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,8,0.0,0.0
BAC_P::Coprothermobacterota,9,0.0,0.0
BAC_P::Coprothermobacterota,10,0.0,0.0
BAC_P::Coprothermobacterota,11,0.0,-0.0006845501576937529
BAC_P::Coprothermobacterota,12,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,13,0.0,0.0
BAC_P::Coprothermobacterota,14,0.0,0.0
BAC_P::Coprothermobacterota,15,0.0,-0.0004483484795215764
BAC_P::Coprothermobacterota,16,0.0,0.0
BAC_P::Coprothermobacterota,17,0.0,-0.0006845501576937529
BAC_P::Coprothermobacterota,18,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,19,0.0,-0.00024363211342154356
BAC_P::Coprothermobacterota,20,0.0,-0.0006845501576937529
BAC_P::Coprothermobacterota,21,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,22,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,23,0.0,0.0
BAC_P::Coprothermobacterota,24,0.0,0.0
BAC_P::Coprothermobacterota,25,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,26,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,27,0.0,-3.817810421635759e-06
BAC_P::Coprothermobacterota,28,0.0,0.0
BAC_P::Coprothermobacterota,29,0.0,0.0
BAC_P::Coprothermobacterota,30,0.0,-3.817810421635759e-06
BAC_P::Cyanobacteria,1,0.0,0.0
BAC_P::Cyanobacteria,2,0.0,0.0
BAC_P::Cyanobacteria,3,0.0,0.0
BAC_P::Cyanobacteria,4,0.0,0.0
BAC_P::Cyanobacteria,5,0.0,0.0
BAC_P::Cyanobacteria,6,0.0,0.0
BAC_P::Cyanobacteria,7,0.0,0.0
BAC_P::Cyanobacteria,8,0.0,0.0
BAC_P::Cyanobacteria,9,0.0,0.0
BAC_P::Cyanobacteria,10,0.0,0.0
BAC_P::Cyanobacteria,11,0.0,0.0
BAC_P::Cyanobacteria,12,0.0,0.0
BAC_P::Cyanobacteria,13,0.0,0.0
BAC_P::Cyanobacteria,14,0.0,0.0
BAC_P::Cyanobacteria,15,0.0,0.0
BAC_P::Cyanobacteria,16,0.0,0.0
BAC_P::Cyanobacteria,17,0.0,0.0
BAC_P::Cyanobacteria,18,0.0,0.0
BAC_P::Cyanobacteria,19,0.0,0.0
BAC_P::Cyanobacteria,20,0.0,0.0
BAC_P::Cyanobacteria,21,0.0,0.0
BAC_P::Cyanobacteria,22,0.0,0.0
BAC_P::Cyanobacteria,23,0.0,0.0
BAC_P::Cyanobacteria,24,0.0,0.0
BAC_P::Cyanobacteria,25,0.0,0.0
BAC_P::Cyanobacteria,26,0.0,0.0
BAC_P::Cyanobacteria,27,0.0,0.0
BAC_P::Cyanobacteria,28,0.0,0.0
BAC_P::Cyanobacteria,29,0.0,0.0
BAC_P::Cyanobacteria,30,0.0,0.0
BAC_P::Deinococcota,1,0.0,0.0
BAC_P::Deinococcota,2,0.0,0.0
BAC_P::Deinococcota,3,0.0,0.0
BAC_P::Deinococcota,4,0.0,0.0
BAC_P::Deinococcota,5,0.0,0.0
BAC_P::Deinococcota,6,0.0,0.0
BAC_P::Deinococcota,7,0.0,0.0
BAC_P::Deinococcota,8,0.0,0.0
BAC_P::Deinococcota,9,0.0,0.0
BAC_P::Deinococcota,10,0.0,0.0
